pid	English	Chinese
958394	Rose 31 - Eau de Parfum, 50ml 	Rose 31 香水，50ml
807913	Discovery Set, 5 x 1.5ml	Discovery 香水套装，5 x 1.5ml
958395	Santal 33 - Eau de Parfum, 50ml	Santal 33 香水，50ml
958392	Bergamote 22 - Eau de Parfum, 50ml 	Bergamote 22 香水，50ml
958396	Thé Noir 29  - Eau de Parfum, 50ml	Thé Noir 29 香水，50ml
958393	Neroli 36 - Eau De Parfum, 50ml	Neroli 36 香水，50ml
549866	Iris 39 Solid Perfume, 4g	Iris 39 鸢尾花香氛膏，4g
604393	Santal 33 Liquid Balm - Sandalwood & Cardamom, 7.5ml	Santal 33 滚珠香氛露，7.5ml（香调：檀香&小豆蔻）
549863	Lys 41 Solid Perfume - Lily & White Flowers, 4g	Lys 41 香氛膏，4g（香调：百合 & 白色花卉）
436610	Perfume Oil - Santal 33 - Sandalwood & Cardamom, 30ml	Santal 33 檀香香氛油，30ml（香调：雪松、小豆蔻）
549862	Neroli 36 Solid Perfume, 4g	Neroli 36 橙花香氛膏，4g
436615	Iris 39 Perfume Oil, 30ml	Iris 39 香氛油，30ml
780680	Petit Grain 21 scented candle, 195g	Petit Grain 21 香薰蜡烛，195g
436612	Bergamot 22 Perfume Oil, 30ml	Bergamot 22 香氛油，30ml
780681	Pin 12 scented candle, 195g	Pin 12 香薰蜡烛，195g
604391	Rose 31 Liquid Balm, 7.5ml	 Rose 31 玫瑰滚珠香氛露，7.5ml
549861	Bergamote 22 Solid Perfume, 4g	Bergamote 22 佛手柑香氛膏，4g
604394	Iris 39 Liquid Balm, 7.5ml	Iris 39 鸢尾花滚珠香氛露，7.5ml
549865	Rose 31 Solid Perfume, 4g 	Rose 31 玫瑰香氛膏，4g
436617	Rose 31 Body Lotion, 237ml	Rose 31 玫瑰身体乳，237ml
549864	Santal 33 Solid Perfume - Sandalwood & Cardamom, 4g	Santal 33 香氛膏，4g（香调：檀香木 & 小豆蔻）
537974	Santal 33 Shower Gel, 237ml	Santal 33 檀香沐浴啫喱，237ml
537971	Rose 31 Shower Gel, 237ml	Rose 31 玫瑰沐浴啫喱，237ml
537972	Neroli 36 Shower Gel, 237ml	Neroli 36 橙花沐浴啫喱，237ml
436616	Santal 33 Body Lotion, 237ml	Santal 33 檀香身体乳，237ml
436618	Bergamote 22 Body Lotion, 237ml	Bergamote 22 佛手柑身体乳，237ml
436619	Neroli 36 Body Lotion, 237ml	Neroli 36 橙花身体乳，237ml
436614	Lys 41 Perfume Oil - Lily & White Flowers, 30ml	Lys 41 香氛油，30ml（香调：百合、白色花卉）
673393	Thé Noir 29 Perfume Oil - Black Tea Essence, 30ml	Thé Noir 29 红茶香氛油，30ml（香调：红茶香精）
436613	Neroli 36 Perfume Oil, 30ml	Neroli 36 香氛油，30ml
604396	Lys 41 Liquid Balm - Lily & White Flowers, 7.5ml	Lys 41 滚珠香氛露，7.5ml（香调：百合&白色花卉）
673394	Thé Noir 29 Liquid Balm - Black Tea Essence, 7.5ml	Thé Noir 29 滚珠香氛露，7.5ml（香调：红茶精华）
604395	Neroli 36 Liquid Balm, 7.5ml	Neroli 36 滚珠香氛露，7.5ml
537970	Bergamote 22 Shower Gel, 237ml	Bergamote 22 佛手柑沐浴啫喱，237ml
537973	Iris 39 Shower Gel, 237ml	Iris 39 鸢尾花沐浴啫喱，237ml
537969	Lys 41 Shower Gel, 237ml	Lys 41 百合沐浴啫喱，237ml
436621	Iris 39 Body Lotion, 237ml	Iris 39 鸢尾花身体乳，237ml
709070	Thé Noir 29 Solid Perfume - Black Tea Essence, 4g	Thé Noir 29 红茶香氛膏，4g（香调：红茶香精）
436620	Lys 41 Body Lotion, 237ml	Lys 41 百合身体乳，237ml
604392	Bergamote 22 Liquid Balm, 7.5ml	Bergamote 22 佛手柑滚珠香氛露，7.5ml
436611	Rose 31 Perfume Oil, 30ml	Rose 31 香氛油，30ml
