pid	English	Chinese
683193	Colour Core Stain Lipstick - Paris	绚彩丝缎唇膏（色号：Paris）
448876	Crème Fresh Tint - Mystique	两用胭脂唇彩膏（色号：Mystique）
634032	Peau Vierge Pressed Powder - Shade 1	新生美肌蜜粉饼（色号：Shade 1）
683192	Colour Core Stain Lipstick - Marrakech	绚彩丝缎唇膏（色号：Marrakech）
754762	Moisture Matte Lipstick - Tokyo	保湿哑光唇膏（色号：Tokyo）
754760	Moisture Matte Lipstick - Smoke	保湿哑光唇膏（色号：Smoke）
489045	True Colour Eyeshadow - Milan	原色眼影（色号：Milan）
754761	Moisture Matte Lipstick - Amelie	保湿哑光唇膏（色号：Amelie）
754759	Moisture Matte Lipstick - L'Ete Indien	保湿哑光唇膏（色号：L'Ete Indien）
754757	Instant Line Perfecting Serum, 30ml	瞬间紧致精华液，30ml
634033	Peau Vierge Pressed Powder - Shade 2	新生美肌蜜粉饼（色号：Shade 2）
754756	Ultimate Hydrator, 50ml	终极保湿乳，50ml
754754	Chem60 Pro-Peel, 30ml	60 秒专业焕肤霜，30ml
448875	Crème Fresh Tint - Ginger Lily	两用腮红唇彩膏（色号：Ginger Lily）
634034	Peau Vierge Pressed Powder - Shade 3	新生美肌蜜粉饼（色号：Shade 3）
489044	True Colour Eyeshadow - Corinthian	原色眼影（色号：Corinthian）
448877	Crème Fresh Tint - Coral Nymph	两用腮红唇彩膏（色号：Coral Nymph）
355757	Eyelash Curler	睫毛夹
431712	Hydra-Crème Lipstick - Think Pink	水动力丝滑唇膏（色号：Think Pink）
355752	Precision Liquid Liner - Noir	精准眼线液，0.06ml （色号：Noir）
431714	Hydra-Crème Lipstick - Butterfield 8	水动力丝滑唇膏（色号：Butterfield 8）
355749	Bronzer - Maldives Magic	古铜粉 （色号：Maldives Magic）
443197	Hydra-Crème Lipstick - Amore	水动力丝滑唇膏（色号：Amore）
431713	Hydra-Crème Lipstick - Tea Rose	水动力丝滑唇膏（色号：Tea Rose）
431709	Hydra-Crème Lipstick - Signature Red	水动力丝滑唇膏（色号：Signature Red）
626275	Peau Vierge Anti-Aging Complexe - Shade 2	抗衰老复合润色精华霜（色号：Shade 2）
626276	Peau Vierge Anti-Aging Complexe - Shade 3	抗衰老复合润色精华霜，30ml （色号：Shade 3）
