pid	English	Chinese
848940	Crème de Soin à L'Amarante Detangling and Color-Protecting Conditioner, 150ml	野苋菜乳柔顺锁色护发素，150ml
906816	Travel Kit For Colored Hair 	染发护理旅行套装
906817	Travel Kit For Volume	丰盈护理旅行套装
762092	Tonique Végétal Leave-In Treatment, 150ml	滋养焕活免洗护理喷雾，150ml
762089	Bain Volumateur Aux Algues Shampoo, 200ml	海藻精华丰盈洗发露，200ml
776650	Boar Bristle Hairbrush	野猪鬃毛发刷
762091	Lait Lavant A La Banane, 200ml	香蕉精华洗发乳，200ml
762090	Bain Vitalisant B Shampoo, 200ml	维他命 B 洗发露，200ml
632934	Crème Régénératrice Conditioner, 100ml	再生护发乳，100ml
762093	Condition Naturelle Heat Protective Styling Spray, 150ml	热造型天然护发喷雾，150ml
524885	Beautifying Shampoo for Highlighted Hair, 200ml 	挑染秀发亮采洗发露，200ml
632938	Crème Aux Fleurs Cleansing Treatment Cream, 200ml	花漾精华清洁滋养护发乳，200ml
632936	Régénérescence Naturelle, 60ml	自然再生头皮养护油，60ml
632937	Gentle Anti-Dandruff Shampoo, 200ml	温和抗头皮屑洗发露，200ml
632940	Tonique Vivifiant Vitalizing Leave-In Treatment, 150ml	滋养焕活免洗护理喷雾，150ml
632939	Bain TS Balancing Shampoo, 200ml	Bain TS 植物均衡洗发露，200ml
339575	Huile de Leonor Greyl, 95ml	Leonor Greyl 护发油，95ml

632941	Tonique Hydratant Moisturizing Leave-In Treatment, 150ml	保湿滋润免洗护理喷雾，150ml
632935	Concentré Énergétique Hair Treatment Mask, 200ml	能量精华修复发膜，200ml
339584	Masque Quintessence, 200ml	极致修护发膜，200ml
339585	Huile de Magnolia For Face And Body, 95ml	木兰面部和身体滋养油，95ml
339582	Lait Luminescence Bi-Phase Detangling Styling Milk, 150ml	顺滑造型乳液，150ml
339583	Detangling Hair Serum, 75ml	丝滑护发精华，75ml
339580	Complexe Energisant, 12 Vials	复方焕活防脱发精华素，12 瓶
401915	Huile Secret de Beauté, 95ml	抗氧焕肤活发精油，95ml
339576	Shampooing Reviviscence, 200ml	水漾顺滑洗发露，200ml
339579	Masque à L'Orchidée, 200ml	兰馨精华焗油，200ml
339578	Nourishing Shampoo, 200ml	滋养洗发露，200ml
339581	Gentle Volumizing Shampoo, 120ml	柔润丰盈洗发水，120ml
339577	Masque Fleurs de Jasmin, 200ml	茉馨精华焗油，200ml
339586	Éclat Naturel Styling Cream, 50ml	天然焕发霜，50ml
