pid	English	Chinese
538489	Silver Screen Lipstick - Play It	银幕美人唇膏（色号：Play It）
538490	Silver Screen Lipstick - Made It	银幕美人唇膏（色号：Made It）
538492	Velvet Rope Lipstick - Brat Pack	丝绒唇膏（色号：Brat Pack）
538488	Silver Screen Lipstick - Have Paris	银幕美人唇膏（色号：Have Paris）
938731	Lipstick - Mornin' Sunshine	唇膏（色号：Mornin' Sunshine）
538497	Let Them Eat Cake Lipstick - Cool Lilac	Let Them Eat Cake 唇膏（色号：Cool Lilac）
538491	Velvet Rope Lipstick - Star System	丝绒唇膏（色号：Star System）
920848	Lip of Luxury Duo - You Kid & Entourage 	奢华唇膏套装（色号：You Kid & Entourage）
600391	Velvet Rope Lipstick - Entourage	丝绒唇膏（色号：Entourage）
623973	Cupid's Bow Lip Pencil - Eros	“爱神之箭”精描唇线笔（色号：Eros）
883255	Famous Last Words - Sayonara	离言别语唇彩 （色号：Sayonara）
729008	Lipstick - Eden	唇膏（色号：Eden）
600396	Bête Noire Lipstick - Possessed Metal	黑樱桃唇膏（色号： Possessed Metal）
883257	Famous Last Words - Rosebud	离言别语唇彩（色号：Rosebud）
883263	Chess Lipstick - Bishop (Determined)	魅力迷局唇膏，色号：Bishop (Determined)
883256	Famous Last Words - So Long	离言别语唇彩 （色号：So Long）
623980	Sinner Lipstick - Hot Rose	诱惑之罪唇膏（色号：Hot Rose）
842221	Lipstick - Black Lace Rabbit	唇膏（色号：Black Lace Rabbit）
883260	Chess Lipstick - King (Noble)	魅力迷局唇膏，色号：King （Noble） 
883261	Chess Lipstick - Queen (Supreme)	魅力迷局唇膏，色号：Queen （Supreme）
623979	Saint Lipstick - Scarlet Red	圣品唇膏（色号：Scarlet Red）
883264	Chess Lipstick - Knight (Courageous)	魅力迷局唇膏，色号：Knight（Courageous） 
883265	Chess Lipstick - Pawn (Loyal) 	魅力迷局唇膏，色号：Pawn（Loyal）
623982	Sinner Lipstick - Deep Red	诱惑之罪唇膏（色号：Deep Red）
710376	Saint & Sinner Lip Tint - Deep Red	圣洁诱惑唇釉（色号：Deep Red）
710377	Saint & Sinner Lip Tint - Wine	圣洁诱惑唇釉（色号：Wine）
883259	Famous Last Words - See Ya	离言别语唇彩（色号：See Ya）
883262	Chess Lipstick - Rook (Unpredictable)	魅力迷局唇膏，色号：Rook（Unpredictable）
623978	Saint Lipstick - Bright Rose	圣品唇膏（色号： Bright Rose）
759670	Lip Liner - Bare Nude 	唇线笔（色号：Bare Nude）
842222	Sinner Lipstick - Mauve	诱惑之罪唇膏（色号：Mauve）
600395	Bête Noire Lipstick - Possessed Sheer	黑色魅惑唇膏（色号：Possessed Sheer）
883258	Famous Last Words - Dear John	离言别语唇彩（色号：Dear John）
623977	Saint Lipstick - Pink	圣品唇膏（色号：Pink）
766077	Cream Blush - Frog Prince	幻色腮红霜（色号：Frog Prince）
759665	Sinner Lipstick - Nude	诱惑之罪唇膏（色号：Nude）
