pid	English	Chinese
720565	Travel Boar Bristle Hairbrush	野猪鬃毛旅行发刷
720567	Travel Mixed Bristle Hairbrush	混合鬃毛旅行发刷
720564	Large Boar Bristle Hairbrush	野猪鬃毛大号发刷
578366	Refresh Dry Shampoo, 102g	清爽头发干洗喷雾，102g
720566	Large Mixed Bristle Hairbrush	大号混合刷毛发刷
529204	Nourish Conditioner for Dry Hair, 300ml	干性发质滋养护发素，300ml
529206	Preserve Shampoo for Color Treated Hair, 300ml	染后发质锁色洗发露，300ml
529209	Heal Mask for Damaged Hair, 300ml	受损发质修护发膜，300ml
578365	Plump Thickening Mousse, 170g	丰盈致密摩丝，170g
529203	Nourish Shampoo for Dry Hair, 300ml	干性发质滋养洗发露，300ml
529210	Brilliance Hair Perfecting Oil, 120ml	亮泽完美护发油，120ml
614907	Cure Hair Strengthening Split End Serum, 30ml	开叉发梢修护强化精华，30ml
614908	Smooth Heat Defense Style Cream - 120ml	高温防护丝滑造型霜，120ml
529208	Heal Shampoo for Damaged Hair, 300ml	受损发质修护洗发露，300ml
529205	Nourish Mask for Dry Hair, 300ml	干性发质滋养发膜，300ml
529207	Preserve Conditioner for Color Treated Hair, 300ml	染后发质锁色护发素，300ml
529201	Amplify Shampoo for Fine Hair, 300ml	细发丰盈洗发露，300ml
529202	Amplify Conditioner for Fine Hair, 300ml	细发丰盈护发素，300ml
