pid	English	Chinese
937632	Aqua Celestia Scented Shower Cream, 250ml 	Aqua Celestia 天际之水沐浴露，250ml
937633	Aqua Celestia Scented Body Cream, 250ml	Aqua Celestia 天际之水身体乳，250ml
937631	Aqua Celestia Eau de Toilette	Aqua Celestia 淡香水
875924	The Fragrance Wardrobe - Discovery Collection for Her, 8 x 11ml 	The Fragrance Wardrobe 女士香水体验套装，8 x 11ml
859295	Grand Soir Eau de Parfum, 70ml	Grand Soir 香水，70ml
859296	Petit Matin Eau de Parfum, 70ml	Petit Matin 香水，70ml
774630	Oud Fragrance Wardrobe, 5 x 11ml	乌木香水套装，5 x 11ml
774629	Eau de Parfum - Aqua Universalis Forte, 70ml	Aqua Universalis Forte 香水，70ml
774626	À La Rose Scented Body Cream, 250ml	À La Rose 玫瑰身体乳，250ml
774627	À La Rose Scented Shower Cream, 250ml	À La Rose 玫瑰沐浴露，250ml
774628	Oud Satin Mood Eau de Parfum - Oud & Patchouli, 70ml	Oud Satin Mood 香水，70ml（香调：沉香、广藿香）
658550	Eau de Parfum - APOM Femme, 70ml	APOM Femme 香水，70ml
547296	Aqua Vitae Eau de Toilette - Mandarin & Guaiac Wood, 70ml	Aqua Vitae 淡香水，70ml（香调：柑橘、愈创木）
658551	Eau de Parfum - Aqua Vitae Forte, 70ml	Aqua Vitae Forte 香水，70ml
614858	Eau de Parfum - À La Rose, 70ml	À La Rose 香水，70ml
548897	Oud Silk Mood Extrait de Parfum - Rose & Oud, 70ml	Oud Silk Mood 香精，70ml（香调：玫瑰、沉香）
547291	Féminin Pluriel Eau de Parfum - Violet & Vetiver, 70ml	Féminin Pluriel 香水，70ml（香调：紫罗兰、香根草）
547292	Féminin Pluriel Eau de Parfums Travel Set - Violet & Vetiver, 3 x 11ml	Féminin Pluriel 香水旅行套装，3 x 11ml（香调：紫罗兰 & 香根草）
547293	Amyris Femme Eau de Parfum - Lemon Tree Flower & Iris, 70ml	Amyris Femme 香水，70ml（香调：柠檬花、鸢尾花）
547294	Amyris Femme Eau de Parfums Travel Set - Lemon Tree Flower & Iris, 3 x 11ml	Amyris Femme 香水旅行套装, 3 x 11ml（香调：柠檬花 & 鸢尾花）
548898	Oud Eau de Parfum Travel Set - Rose & Oud, 3 x 11ml	Oud 香水旅行套装，3 x 11ml（香型：玫瑰 & 沉香）
547295	Globe Trotter Gold Travel Spray Case	Globe Trotter 金色旅行喷瓶盒
658552	Eau de Parfum Travel Set - APOM Femme, 3 x 11ml	APOM Femme 香水旅行套装，3 x 11ml
548895	Aqua Universalis Eau de Toilette - Bergamot & White Flowers, 70ml	Aqua Universalis 淡香水，70ml（佛手柑、白色花卉）
