pid	English	Chinese
907549	Skin Illuminator - Skir	高光笔（色号：Skir）
907561	Satin Finish Powder Blush – Geisha	丝缎花漾腮红粉（色号：Geisha）
907552	Contour Highlight - Warm 1	修容高光双色彩盘（色号：Warm 1）
907545	Silk Cream Lipstick - Taffy 	丝滑乳润唇膏（色号：Taffy）
907536	Super Matte Lip Pencil	极致哑光唇线笔
907554	Gel Eyeliner Pencil - Jet Black	凝胶眼线笔（色号：Jet Black）
907555	Gel Eyeliner Pencil - Espresso Brown	凝胶眼线笔（色号：Espresso Brown）
907533	Lip Primer, 2.8g	唇部妆前乳，2.8g
907550	Skin Illuminator - Llós	高光笔（色号：Llós）
907562	Expert Blush Brush #2	2 号专业腮红刷
907558	Expert Crème Brush #5	5 号专业眼部化妆刷
907537	Moonlight Primer, 30ml	柔光妆前乳
907543	Matte Lipstick - Scarlet	雾面唇膏（色号：Scarlet）
907535	Face Gloss, 11.4g	面部焕彩乳
907547	Silk Cream Lipstick - Maraschino Cherry	丝滑乳润唇膏（色号：Maraschino Cherry）
907556	Solstice Bronzer - Warm 1	暖意古铜修容粉（色号：Warm 1）
907546	Silk Cream Lipstick - Magnolia	丝滑乳润唇膏（色号：Magnolia）
907560	Moonlight Brightening Serum, 36ml	柔光亮颜精华，36ml
907539	Sculpting Lash & Brow Gel	睫眉塑型膏
907541	Matte Lipstick - Jakarta	雾面唇膏（色号：Jakarta）
907538	Marine Salve, 25.5g	清新海洋润肤膏，25.5g
907548	Sea Salt Exfoliator & Marine Lip Repair	海盐磨砂膏和海洋修护润唇霜套装
907551	Skin Illuminator - Nor	高光笔（色号：Nor）
907534	Dual-Phase Eye Makeup Remover, 120ml	双段眼部卸妆液，120ml
907559	Custom Finish Effects - Matte/ Dew	定制妆效双色粉饼（色号：Matte/ Dew）
907540	The Universal Stick, 5.1g	多用美妆棒，5.1g
907542	Matte Lipstick - Nude	雾面唇膏（色号：Nude）
907544	Matte Lipstick - Tulipa	雾面唇膏（色号：Tulip）
907553	Dew Pot	亮肤凝露
