pid	English	Chinese
937832	Re(cover) Coconut Setting Spray, 112ml 	椰子修护定妆喷雾，112ml
937833	Dew Drops Coconut Gel Highlighter, 24ml	亮颜凝胶高光，24ml
904357	Le Marc Lip Crème - Georgie Girl 214	柔润唇膏（色号：214 Georgie Girl）
904361	Air Blush Soft Glow Duo - Lush & Libido 500	轻柔亮泽双色腮红（色号：Lush & Libido 500）
904453	Highliner Gel Eye Crayon - Blacquer	亮彩眼线胶笔（色号：Blacquer）
904420	Style Eye-Con No. 7 Plush Eyeshadow Palette - The Dreamer 212	时尚炫彩七色眼影盘（色号：212 The Dreamer）
904444	Fineliner Ultra-Skinny Gel Eye Crayon - Blacquer	超细凝胶眼线笔（色号：Blacquer）
904418	Style Eye-Con No. 7 Plush Eyeshadow Palette - The Enigma 216	时尚炫彩七色眼影盘（色号：216 The Enigma）
904363	Air Blush Soft Glow Duo - Kink & Kisses 504	轻柔亮泽双色腮红（色号：Kink & Kisses 504）
904364	Air Blush Soft Glow Duo - Flesh & Fantasy 506	轻柔亮泽双色腮红（色号：Flesh & Fantasy 506）
904362	Air Blush Soft Glow Duo - Lines & Last Night 502	轻柔亮泽双色腮红（色号：Lines & Last Night 502）
904387	Re(Marc)able Full Cover Foundation Concentrate - Beige Deep 38	非凡无瑕粉底精华（色号：38 Beige Deep）
904386	Re(Marc)able Full Cover Foundation Concentrate - Golden Medium 36	非凡无暇粉底精华（色号：36 Golden Medium）
904385	Re(Marc)able Full Cover Foundation Concentrate - Beige Taupe 35	非凡无瑕粉底精华（色号：35 Beige Taupe）
904417	Enamored Hi-Shine Nail Lacquer - Resurrection 	一闪倾心指甲油（色号：Resurrection）
904416	Enamored Hi-Shine Nail Lacquer - Fluorescent Beige 142	一闪倾心指甲油（色号：142 Fluorescent Beige）
904415	Enamored Hi-Shine Nail Lacquer - Petra 140	一闪倾心指甲油（色号：140 Petra）
904520	Highliner Matte Gel Eye Crayon - (Pop)ular 49	哑光亮彩眼线胶笔（色号：(Pop)ular 49）
904519	Highliner Matte Gel Eye Crayon - Whirl(pool) 51	哑光亮彩眼线胶笔（色号：Whirl(pool) 51）
904517	Highliner Matte Gel Eye Crayon - Over(night) 61	哑光亮彩眼线胶笔（色号：Over(night) 61）
904367	Velvet Noir Major Volume Mascara - Noir	丝绒浓黑睫毛膏（色号：Noir）
904368	O!Mega Lash Volumizing Mascara - Blacquer	惊艳丰盈睫毛膏（色号：Blacquer）
904370	Feather Noir Ultra-Skinny Lash Discovering Mascara - Noir	纤长黑亮睫毛膏（色号：Noir）
904360	Le Marc Lip Crème - Clara 218	柔润唇膏（色号：Clara 218）
904347	Le Marc Lip Crème - Slow Burn 246	柔润唇膏（色号：Slow Burn 246）
904346	Le Marc Lip Crème - Kiss Kiss Bang Bang 216	柔润唇膏（色号：216 Kiss Kiss Bang Bang）
904423	Enamored Hi-Shine Lip Lacquer - Pretty Thing 318	一闪倾心唇釉（色号：318 Pretty Thing）
904426	Enamored Hi-Shine Lip Lacquer - Rebel Rebel 308	一闪倾心唇釉（色号：Rebel Rebel 308）
904425	Enamored Hi-Shine Lip Lacquer - Allow Me 302	一闪倾心唇釉（色号：302 Allow Me）
904414	Enamored Hi-Shine Nail Lacquer - Jezebel 138	一闪倾心指甲油（色号：138 Jezebel）
904413	Enamored Hi-Shine Nail Lacquer - Lola 134	一闪倾心指甲油（色号：134 Lola）
904411	Enamored Hi-Shine Nail Lacquer - Shocking 116	一见倾心高亮指甲油（色号：Shocking 116）
904372	The Bronze Bronzer Brush	古铜粉刷
904366	The Blush Angled Blush Brush	斜角腮红刷
904463	The Face II - Sculpting Foundation Brush	The Face II 塑形粉底刷
904435	Lip Lock Moisture Balm SPF 18 - Makeout 10	防晒锁水润唇膏 SPF 18（色号：10 Makeout）
904404	Glow Stick Glistening Illuminator - Spotlight 700	莹彩高光棒 （色号：Spotlight 700）
904373	Under(Cover) Perfecting Coconut Face Primer - Invisible 30, 30ml	净透无瑕妆前乳，30ml（色号：30 Invisible）
904371	O!mega Perfect Tan Bronzer - Tantric 102	哑光丝滑古铜粉（色号：102 Tantric）
904419	Style Eye-Con No. 7 Plush Eyeshadow Palette - The Tease 202	时尚炫彩七色眼影盘（色号：202 The Tease）
904369	O!Mega Lash Volumizing Mascara - Think Ink 50	惊艳丰盈睫毛膏（色号：Think Ink 50）
904464	The Face III - Buffing Foundation Brush	The Face III 匀妆粉底刷
904462	The Face 1 Liquid Foundation Brush	The Face 1 液体粉底刷
904461	The Shape Contour Brush	The Shape 修容刷
904359	Le Marc Lip Crème - Oh Miley 200	柔润唇膏（色号：Oh Miley 200）
904350	Le Marc Lip Crème - Sonic Truth 244	柔润唇膏（色号：Sonic Truth 244）
904349	Le Marc Lip Crème - J'Adore 230	柔润唇膏（色号：J'Adore 230）
