pid	English	Chinese
633975	Exfoliating Hand Wash, 200ml	去角质洗手液，200ml
792936	Soothing Foot Powder, 25g	足部舒缓滋养粉，25g
830110	Leather-Bound Manicure & Pedicure Set	皮革精装修甲工具套装
792941	Nail Polish - Hydrangea	指甲油（色号：Hydrangea）
792940	Nail Polish - Sweet Pea 	指甲油（色号： Sweet Pea）
792943	Nail Polish - Tea Rose	指甲油（色号：Tea Rose）
347440	Hydrating Foot Soak, 200ml	保湿足浴剂，200ml
792937	Base coat	美甲底油
792939	Nail Polish - White Rose 	指甲油（色号： White Rose）
792942	Nail Polish - Snap Dragon	指甲油（色号： Snap Dragon）
792944	Nail Polish - Asiatic Lily	指甲油（色号： Asiatic Lily）
633973	Intensive Hydrating Hand Lotion, 200ml	深层保湿护手乳，200ml
633974	Exfoliating Hand Scrub, 100ml	手部磨砂膏，100ml
346218	Exfoliating Foot Mousse, 100ml	足部去角质慕斯，100ml
346219	The Professional Foot File	专业脚锉
512385	Foot Hygiene Cream, 100ml	护足霜，100ml
639206	Intensive Anti-Aging Hand Serum, 30ml	高效抗衰老手部精华液
668282	Fabulous Hands Gift Set	绝妙好礼护手套装
577485	3 Steps To Fabulous Feet Kit	美足护理三部曲
577484	Discovery Kit	新境足部套装
792945	Nail Polish - Cherry Blossom	指甲油（色号：Cherry Blossom）
792938	Treatment Enriched Top Coat	浓郁滋养表层油
