pid	English	Chinese
962667	Royal, Karakum and Rambas Toothpaste Trio, 3 x 75ml 	牙膏三件套，3 x 75ml（香型：Royal，Karakum，Rambas）
962668	Wonders of the World Set: Royal, Karakum and Rambas Toothpaste, 3 x 25ml 	世界奇观牙膏套装，3 x 25ml（香型：Royal，Karakum，Rambas）
647781	Whitening Toothpaste, 3 x 75ml	美白牙膏，3 x 75ml
648419	Set of three toothbrushes 	深邃黑牙刷（三支装）
355157	Classic Strong Mint, Aquatic Mint and Whitening Mint Toothpaste, 3 x 75ml	经典强力薄荷、海洋薄荷和美白薄荷牙膏，3 x 75ml
699027	Cinnamon Mint, Jasmin Mint and Ginger Mint Toothpaste, 3 x 25ml	肉桂薄荷、茉莉薄荷和生姜薄荷牙膏，25ml x 3 支 
355158	Cinnamon Mint, Jasmin Mint and Ginger Mint Toothpaste, 3 x 75ml	肉桂薄荷、茉莉薄荷和生姜薄荷牙膏，3 x 75ml
699028	Whitening Toothpaste, 3 x 25ml	美白牙膏，3 x 25ml
529223	Classic Strong Mint, Aquatic Mint and Whitening Mint Toothpaste, 3 x 25ml	经典强力薄荷、海洋薄荷和美白薄荷牙膏，3 x 25ml
647782	Flavor Collection Gift Set: Licorice, Mint, Cinnamon, Classic, Ginger, Jasmine and Whitening Toothpaste, 7 x 25ml	多口味牙膏礼盒套装：甘草、薄荷、肉桂、经典、姜、茉莉和美白牙膏，7 x 25ml
529225	Mouthwash Concentrate - Strong Mint, 120ml	强力薄荷浓缩漱口水，120ml
