pid	English	Chinese
708566	Universal Nylon Bristle Hairbrush	Universal 尼龙鬃毛发刷
707463	Detangling Comb	无打结发梳
707464	Rake Comb	Rake 发梳
708571	Handy Nylon Bristle Hairbush	Handy 尼龙鬃毛发刷
707465	Detangler Hair Brush	顺滑发梳
708576	Pocket Nylon Bristle Hairbrush 	Pocket 尼龙鬃毛发梳
708564	Popular Mixture Bristle Hairbrush	Popular Mixture 混合鬃毛发刷
336612	Pocket All Boar Bristle Hairbrush	Pocket 纯野猪鬃发刷
708572	Child Sensitive All Boar Bristle Hairbrush	Child 敏感头皮纯野猪鬃发刷
708575	Pocket Mixture Bristle Hairbrush	Pocket 混合鬃毛发刷
708573	Pocket Sensitve All Boar Bristle Hairbrush	Pocket 敏感头皮纯野猪鬃发刷
708570	Handy Mixture Bristle Hairbrush	Handy 混合鬃毛发刷
708574	Pocket All Boar Bristle Hairbrush	Pocket 纯野猪鬃发刷
708567	Junior Mixture Bristle Hairbrush	Junior 混合鬃毛发刷
708569	Handy Sensitive All Boar Bristle Hairbrush	Handy Sensitive 纯野猪鬃发刷
708568	Handy Pure All Boar Bristle Hairbrush	Handy 纯猪鬃发刷
336615	Handy Mixture Bristle Hairbrush	Handy Mixture 混合鬃毛发刷
336616	Junior Medium Mixed Bristle Hairbrush	Junior 中号混合鬃毛发刷
336617	Handy All Boar Bristle Hairbrush	Handy 纯野猪鬃发刷
336614	Large Popular Mixture Bristle Brush	Large Popular 混合鬃毛发刷
336613	Pocket Mixture Bristle Hairbrush	Pocket 混合鬃毛发刷
708565	Extra Small All Boar Bristle Hairbrush	纯野猪鬃超小号发刷
