pid	English	Chinese
615168	Noix de Tubéreuse scented candle, 185g	Noix de Tubéreuse 香薰蜡烛，185g
615165	Feuilles de Tabac Eau de Parfum - Tobacco Leaf & Pimento Berries, 50ml	Feuilles de Tabac 香水，50ml（香调：烟草叶、甘椒树浆果）
615162	Cassis en Feuille Eau de Parfum -Egyptian Geranium & Blackcurrent, 50ml	Cassis en Feuille 香水，50ml（香调：埃及天竺葵 & 黑醋栗）
615164	Noix de Tubéreuse Eau de Parfum - Tuberose Absolut & Vanilla, 50ml	Noix de Tubéreuse 香水，50ml（香调：晚香玉原精 & 香草）
690305	Terre D'Iris Eau de Parfum - Florentine Iris, 50ml	Terre D'Iris 香水，100ml（香调：佛罗伦萨鸢尾）
615163	Coeur de Jardin Eau de Parfum - Turkish Rose & Jasmine, 50ml	Coeur de Jardin 香水，50ml（香调：土耳其玫瑰 & 茉莉）
615169	Feuilles de Tabac scented candle, 185g	Feuilles de Tabac 香薰蜡烛，185g
690304	La Fumeé Eau de Parfum - Cedar Wood & Citrus, 50ml	La Fumeé 香水，50ml（香调：雪松 & 柑橘）
615161	Poirier d'un Soir Eau de Parfum - Papyrus & Rum Extract, 50ml	Poirier d'un Soir 香水，50ml（香调：纸莎草 & 朗姆酒精华）
615166	Rose en Noir Eau de Parfum - Turkish Rose & Raspberries, 50ml	Rose en Noir 香水，50ml（香调：土耳其玫瑰、覆盆子）
615157	Perfumer's Library Le Jasmin Eau de Parfum - Jasmine & Sicilian Lemon, 100ml	Perfumer's Library Le Jasmin 香水，100ml（香调：茉莉&西西里柠檬）
615167	Rose en Noir scented candle, 185g	Rose en Noir 香薰蜡烛，185g
615160	Perfumer's Library Veti Vert Eau de Parfum - Vetiver & Grapefruit, 100ml	Perfumer's Library Veti Vert 香水，100ml（香调：香根草 & 葡萄柚）
615159	Perfumer's Library Tuberosa Eau de Parfum - Indian Tuberose & Jasmine, 100ml 	Perfumer's Library Tuberosa 香水，100ml（香调：印度晚香玉、茉莉花）
615158	Perfumer's Library La Feuille Eau de Parfum - Tobacco, 100ml	Perfumer’s Library La Feuille 香水，100ml（香调：烟草）
