pid	English	Chinese
704096	Gym Kit	健身套装
888327	Mama Mio Megamama Super-Rich Omega Body Lotion, 150ml	Mama Mio 超级妈妈 Omega 极致丰盈身体乳，150ml
846441	Workout Wonder™ Ball, 30ml	Workout Wonder™ 运动舒缓滚珠, 30ml
830992	Liquid Yoga Stress-Free Space Spray, 150ml	瑜伽舒压空气喷雾，150ml
571534	Strong Is The New Skinny Kit	活力焕肤套装
888326	Mama Mio The Tummy Rub Butter, 120g	Mama Mio 防纹未然腹部按摩霜，120g
888330	Mama Mio Pregnancy Boob Tube Bust Protection Cream, 100ml	Mama Mio 孕期丰韵紧致美胸霜，100ml
888331	Mama Mio Gorgeous Glow™ Balancing Facial Wash, 100ml	Mama Mio Gorgeous Glow™ 平衡洗面奶，100ml
888332	Mama Mio The Tummy Rub Oil, 120ml	Mama Mio 防纹未然腹部按摩油，120ml
535471	Liquid Yoga Restorative Bath Soak, 200ml	瑜伽元气恢复泡浴液，200ml
535466	Shrink to Fit Cellulite Smoother, 100ml	纤盈美体祛橘皮霜,100ml
535467	Get Waisted Sculpting Bodyshaper, 100ml	腰腹纤体霜，100ml
615153	Clean Slate Workout Swipe - Set of 25	爽肤健身用湿巾（25 片装）
571533	Boob Tube+ Multi-Action Bust Firmer, 100ml	丰韵紧致多效美胸霜，100ml
571535	Skin Tight® Tightening Body Serum, 100ml	紧致肌肤身体护理精华液，100ml
535468	Workout Wonder™ Invigorating Muscle Motivating Gel, 100ml	Workout Wonder™ 肌肉焕活啫喱，100ml
535469	The Activist Firming Active Body Oil, 120ml	活力紧致身体油，120ml
535470	Double Buff Dual Action Enzyme Exfoliator, 150ml	双效酵素双用去角质霜，150ml
535472	Natural dry body brush	天然干式身体刷
