pid	English	Chinese
884147	Smooth & Protect Primer SPF 50, 30ml	柔滑防护妆前乳 SPF 50，30ml
873830	Pore & Shine Control Primer, 30ml	零毛孔无油光妆前乳，30ml
515246	Dual-Intensity Eyeshadow - Lysithea	星璨奢华眼影（色号：Lysithea）
607111	Dual-Intensity Blush - Fervor	星璨奢华双色腮红（色号：Fervor）
607110	Dual-Intensity Blush - Frenzy	星璨奢华双色腮红（色号：Frenzy）
607112	Dual Intensity Blush - Panic	星璨奢华双色腮红（色号：Panic）
717392	#10 Loose Powder Brush	散粉刷 10 号
717396	#20 Blush Brush	圆形腮红刷 20 号
515243	Audacious Lipstick - Catherine	惹火唇膏（色号: Catherine）
710960	Audacious Lipstick - Olivia 	玩色无忌唇膏（色号：Olivia）
515238	Lip Gloss - Salamanca	星璨唇蜜（色号：Salamanca）
352902	The Multiple - South Beach	All in one 亮彩膏（色号：South Beach）
717398	#41 Diffusing Brush	柔焦扁平刷（41 号）
515245	Dual-Intensity Eyeshadow - Himalia	星璨奢华眼影（色号：Himalia）
515247	Dual-Intensity Eyeshadow - Europa	星璨奢华眼影（色号：Europa）
717402	Mizubake Kabuki Brush	歌舞伎腮红刷
717393	#11 Bronzing Powder Brush	修容刷 12 号
710950	Audacious Lipstick - Jane	惹火唇膏（色号：Jane）
710943	Audacious Lipstick - Charlotte	惹火唇膏（色号：Charlotte）
717400	Botan Kabuki Brush	歌舞伎扁平刷
663714	Kohliner Eyeliner - Minorque	浓黑眼线笔（色号：Minorque）
717332	Radiant Creamy Concealer - Honey, 6ml	妆点甜心遮瑕蜜，6ml（色号：Honey）
717358	Highlighting Blush - Satellite of Love	炫光腮红（色号：Satellite of Love）
717383	#40 Eyeshadow Brush	眼睑刷 40 号
717328	Radiant Creamy Concealer - Caramel, 6ml	妆点甜心遮瑕蜜，6ml（色号：Caramel）
717378	Makeup Removing Water, 200ml	超温柔保湿卸妆水，200ml
717334	Light Reflecting Loose Setting Powder	裸光蜜粉
607109	Dual-Intensity Blush - Craving	星璨奢华双色腮红（色号：Craving）
717401	Mie Kabuki Brush	Mie 歌舞伎蜜粉刷
352893	Semi Matte Lipstick - Schiap	时尚经典丝雾唇膏（色号：Schiap）
710937	Audacious Lipstick - Annabella	惹火唇膏（色号：Annabella）
710942	Sheer Lipstick - Roman Holiday	透薄润泽唇膏（色号：Roman Holiday）
884146	Radiance Primer SPF35, 30ml	透亮妆前乳 SPF 35，30ml
717359	Blush - Desire	炫色腮紅（色号：Desire）
710938	Audacious Lipstick - Audrey	惹火唇膏（色号：Audrey）
717360	Blush - Dolce Vita	炫色腮红（色号：Dolce Vita）
716799	Duo Eyeshadow - Cordura 	双色眼影（色号：Cordura）
663713	Audacious Mascara - Black Moon	敢爱诱黑睫毛膏（色号：Black Moon）
710934	Satin Lipstick - Niagara	水亮粉雾唇膏（色号：Niagara）
710933	Sheer Lipstick - Manhunt	透薄润泽唇膏（色号：Manhunt）
717407	Pro-Prime™ Pore-Refining Primer, 30ml	零孔慌妆前乳
717385	#43 Wide Contour Eyeshadow Brush	斜锥轮廓刷 43 号
712741	Pure Matte Lipstick - Amsterdam	特雾唇膏（色号：Amsterdam）

515239	Audacious Lipstick - Michiyo	惹火唇膏（色号：Michiyo）
717391	#49 Wet/Dry Eyeshadow Brush	#49 星璨奢华眼影刷
654554	Velvet Shadow Stick - Glénan	云雾柔珠眼影笔（色号：Glénan）
710940	Audacious Lipstick - Bette	玩色无忌唇膏（色号：Bette）
607108	Dual-Intensity Blush - Adoration	星璨奢华双色腮红（色号：Adoration）
352911	The Multiple - G-Spot	All-in-one 亮彩膏（色号：G-Spot）
710958	Velvet Matte Lip Pencil - Belle De Jour	丝绒迷雾唇笔（色号：Belle De Jour）
717377	The Multiple - Na Pali Coast	All-in-one 亮彩膏（色号：Na Pali Coast）
717367	Illuminator - Laguna, 30ml	晶采全效凝胶，30ml（色号：Laguna）
710954	Audacious Lipstick - Lana	惹火唇膏（色号：Lana）
717387	#45 Smudge Brush	晕染眼影刷 45 号
717357	Blush - Angelika	炫色腮红（色号：Angelika）
713405	Velvet Gloss Lip Pencil - Baroque	惊绮唇蜜笔（色号：Baroque）
716773	Satin Lip Pencil - Majella	惊绮绒彩笔 （色号：Majella）
717386	#44 Precision Contour Brush	#44 眼部轮廓刷
720619	Audacious Lipstick - Anna	惹火唇膏（色号: Anna）
352864	Larger Than Life Long-Wear Eyeliner - Rue Bonaparte	女王眼线胶笔（色号：Rue Bonaparte）
710965	Velvet Matte Lip Pencil - Damned	丝绒迷雾唇笔（色号：Damned）
710939	Audacious Lipstick - Barbara	惹火唇膏（色号：Barbara)
710962	Audacious Lipstick - Vera	惹火唇膏（色号：Vera）
717384	#42 Blending Eyeshadow Brush	大圆头眼影刷 42 号
717397	#21 Contour Brush 	不失手斜角修容刷 21 号
716779	Velvet Lip Liner - Belle Mare	丝绒唇线笔（色号：Belle Mare）
717374	Gentle Oil-Free Eye Makeup Remover, 100ml	超温柔眼唇卸妆液，100ml
740351	Velvet Matte Skin Tint SPF30 - Alaska, 50ml	丝绒迷雾美肌底霜 SPF30，50ml（色号：Alaska）,
710949	Audacious Lipstick - Greta	惹火唇膏（色号：Greta）
716789	Velvet Lip Liner - Waimea	丝绒唇线笔（色号：Waimea）
716778	Velvet Lip Liner - Anse Soleil	丝绒唇线笔（色号：Anse Soleil）
352866	Larger Than Life Long-Wear Eyeliner - Santa Monica Blvd	女王眼线胶笔（色号：Santa Monica Blvd）
352904	Illuminator - Orgasm, 30ml	晶采全效凝胶，30ml（色号：Orgasm）
716777	Satin Lip Pencil - Yu	惊绮绒彩笔（色号：Yu）
710972	Velvet Matte Lip Pencil - Roman Holiday	丝绒迷雾唇笔（色号：Roman Holiday）
710931	Sheer Lipstick - Dolce Vita	透薄润泽唇膏（色号：Dolce Vita）
710951	Audacious Lipstick - Janet	惹火唇膏（色号：Janet）
717341	All Day Luminous Weightless Foundation - Deauville, 30ml	裸光奇肌粉底液, 30ml（色号：Deauville）
710973	Velvet Matte Lip Pencil - Sex Machine 	丝绒迷雾唇笔（色号：Sex Machine）
