pid	English	Chinese
684952	Birchwood Pine scented candle, 230g	桦木白松香薰蜡烛，230g
849527	Hearth Classic Candle, 230g	Hearth Classic 香薰蜡烛, 230g
849526	Sahara Spice Classic scented candle, 230g	Sahara Spice Classic 香薰蜡烛，230g
684948	Moroccan Amber scented candle, 230g	Moroccan Amber 香薰蜡烛，230g
684950	Blue Garden scented candle, 230g	Blue Garden 香薰蜡烛，230g
849531	Birchwood Pine scented candle, 600g	Birchwood Pine 香薰蜡烛，600g
684949	Sicilian Tangerine scented candle, 230g	西西里柑橘香薰蜡烛，230g
684947	Bamboo scented candle, 230g	竹香香薰蜡烛，230g
849528	Cashmere Suede scented candle, 230g	Cashmere Suede 香薰蜡烛，230g
849529	Hearth scented candle, 600g	Hearth 香薰蜡烛，600g
772110	Corsica scented candle, 283g	Corsica 香薰蜡烛，283g
684951	Holiday scented candle, 230g	Holiday 香薰蜡烛，230g
849525	Grapefruit scented candle, 230g	Grapefruit 香薰蜡烛，230g
772111	Corsica Reed Diffuser, 175ml	Corsica 香氛瓶（含扩香棒），175ml
