pid	English	Chinese
666855	Real Luxury Intensive Skin Treatment Candle, 140g	Real Luxury 深层滋养蜡烛，140g
527110	+ Jenny Packham Real Luxury scented candle, 390g	x Jenny Packham “Real Luxury” 香薰蜡烛，390g
752950	Tranquillity™ Intensive Skin Treatment Candle, 140g	Tranquillity™ 深层滋养蜡烛，140g
524882	Sensuous Ylang Ylang, Frankincense and Patchouli scented candle, 420g	Sensuous 依兰、乳香和广藿香香熏蜡烛，420g
524884	Real Luxury scented candle, 420g	Real Luxury 香薰蜡烛，420g
666856	Perfect Peace scented candle, 380g	Perfect Peace 香薰蜡烛，380g
600122	Complete Bliss scented candle, 380g	Complete Bliss 香薰蜡烛，380g
593553	Feel Refreshed scented candle, 380g	Feel Refreshed 西西里柠檬和清新罗勒香薰蜡烛，380g
552583	Perfect Peace Pine, Myrrh and Lime Peel scented candle, 380g	Perfect Peace 松树、没药、酸橙皮香薰蜡烛, 380g
527111	+ Jenny Packham Happiness White Neroli, Mimosa and Lemon scented candle, 380g	+ Jenny Packham “Happiness” 白橙花油、含羞草、柠檬香薰蜡烛，380g
552585	Tranquillity English scented candle, 420g	Tranquillity 香薰蜡烛，420g
524883	Happiness scented candle, 420g	Happiness 香薰蜡烛，420g
