pid	English	Chinese
905286	NuLipsRX Lip System	护唇套装
719811	Beauty Stamp	美容按摩棒
905283	Uplift Massage Beauty Roller	提拉按摩面部美容棒
594634	Beauty Bear™ Age Delay Pillow	Beauty Bear™ 驻颜枕头
719809	Beauty Bear™ Age Delay Pillow - White	Beauty Bear™ 驻颜枕头（色号：白色）
905285	Pigment Erase Bar In A Jar, 56g	淡斑罐装衡肤皂，56g
719808	Beauty Bear™ Age Delay Pillow - Leopard	Beauty Bear™ 驻颜枕头（色号：Leopard）
905284	Beauty Bear Age Delay Pillow - Memory Foam Edition	Beauty Bear 驻颜枕头（记忆海绵）
594630	EGF Platinum 3 Restorative Facial Elixir, 29ml	铂金 3 号修复美颜精华，29ml
594631	One Step Age Delay Cleanser, 236ml	瞬间洁净青春焕颜洁面乳，236ml
719810	EGF Stem Cell Complex, 29ml	EGF 干细胞复合精华，29ml
719812	HydraTight™ Hydrating Mask, 50g	水漾紧致补水面膜，50g
594633	Acellerator Ultra Beauty Device for Face & Body - USA 2-pin plug	超声波面部和身体美容导入仪（美国标准两脚插头）
594632	Dermalase™ AHA Exfoliating Mask, 50g	Dermalase™ 果酸去角质面膜，50g
594629	EGF Platinum 7 Rejuvenating Facial Cream, 50g	铂金 7 号细胞重生焕颜面霜，50g
