pid	English	Chinese
955205	Firming Neck Cream, 50ml 	紧致抗衰润颈乳，50ml
955204	Moor Cream Cleanser, 150ml	沼泥洁面乳，150ml
847581	Instant Perfection Serum, 30ml	瞬效美颜精华露，30ml
847580	Oxygen Booster, 15ml	氧护精华液，15ml
488142	Rose Lifting Serum, 30ml	玫瑰提肤精华液，30ml
371040	Thermal Cleansing Balm, 50ml	温泉矿物洁面膏，50ml
724107	Ultramoor Mud Mask, 50ml	沼泥面膜，50ml
786641	Summer Glow Set	骄阳盛夏防晒护肤套装
672138	Miracle Face Oil, 30ml	奇迹面部护理油，30ml
488144	Cleansing Foam, 150ml	泡沫洁面乳，150ml
724108	Omoressence, 100ml	Omoressence 精华液, 100ml
606213	Mineral Touch Concealer - Ivory, 7.5g	矿物遮瑕膏，7.5g（色号：Ivory）
488140	Refining Facial Polisher, 100ml	焕颜脸部磨砂膏，100ml
447517	Gold Hydralifting Mask, 50ml	黄金水漾提拉面膜，50ml
488143	Balancing Moisturizer, 50ml	平衡润肤乳，50ml
402371	Deep Cleansing Mask, 50ml	深层清洁面膜，50ml
672140	Blue Diamond Eye Cream, 15ml	蓝钻赋活眼霜，15ml
672139	Hydra Melting Cleanser, 100ml	润泽水溶洁面啫喱，100ml
488141	Rejuvenating Night Cream, 50ml	赋活晚霜，50ml
488145	Intensive Hydra-Lifting Cream, 50ml	密集保湿提肤精华霜，50ml
606214	Mineral Touch Concealer - Beige, 7.5g	矿物遮瑕膏，7.5g（色号：Beige）
532956	Blue Diamond Concentrate, 30ml	蓝钻浓缩精华，30ml
402374	Gold Flash Firming Serum, 30ml	黄金亮颜紧致精华液，30ml
532955	Blue Diamond Super Cream, 50ml	蓝钻高效面霜，50ml
422958	Gold Night Drops, 30ml	黄金夜间精华素，30ml
532957	Blue Diamond Resurfacing Peel, 50ml	蓝钻焕彩去角质霜，50ml
371041	Copper Peel, 16 x 8ml	蓝铜焕肤去角质乳套组，16 x 8ml
847583	Moor Mud Set	温泉矿物泥面部护理套装
402373	Gold Eye Lift, 15ml	黄金提拉紧致眼霜，15ml
606212	Mineral UV Shield SPF30, 100ml	SPF30 矿物 UV 防晒乳，100ml
519355	Complexion Perfector BB SPF20 - Medium, 50ml	焕颜 BB 霜，SPF20，50ml（色号：Medium）
402370	Complexion Corrector SPF20, 30ml	肤色修正乳 SPF20，30ml
371039	Complexion Perfector BB SPF20, 50ml	焕颜 BB 霜，SPF20，50ml
