pid	English	Chinese
957763	Côte d'Azur Polishing Body Scrub, 196g	蔚蓝海岸焕肤身体磨砂膏，196g
957765	Lip Lust Crème Lipstick - Imperial Rose	诱滑唇膏（色号：Imperial Rose）
957764	Lip Lust Crème Lipstick - Super Natural	诱滑唇膏（色号：Super Natural）
957769	The Lacquer High Shine Nail Polish - Green Envy	漆面高亮指甲油（色号：Green Envy）
957767	The Lacquer High Shine Nail Polish - Royal Blush	漆面高亮指甲油（色号：Royal Blush）
957768	The Lacquer High Shine Nail Polish - Lavender Smoke	漆面高亮指甲油（色号：Lavender Smoke）
773762	Lip Balm	修护唇霜
960302	Rock Hard Gel, 100ml	强力定型啫喱，100ml
960303	Curl Gloss, 175ml	卷发造型护理啫喱, 175ml
960301	Sculpting Cream, 150ml	塑发定型乳，150ml
937813	Swept Up Volume Powder Spray	丰盈秀发粉状喷雾
960307	Gold Lust Dry Shampoo, 65ml	黄金头发干洗喷雾，65ml
960306	Curl Shaping Mousse, 175ml	丰盈卷发摩丝，175ml
960304	Foundation Mist, 200ml	造型前喷雾，200ml
937815	Free Styler Working Hairspray, 75ml	自由随心定型喷雾，75ml
937814	Free Styler Working Hairspray, 300ml	自由造型秀发喷雾，300ml
803009	The Lacquer High Shine Nail Polish - The Nude	漆面高亮指甲油（色号：The Nude）
875467	Silverati Shampoo, 250ml	银丝洗发露，250ml
803012	Large Boar Bristle Round Brush	猪鬃毛大号圆筒发刷
713731	Essential Antidote Replenishing Conditioner, 200ml	排毒焕活精华护发素，200ml
803003	Illuminating Face Palette - Sunlit	亮颜彩妆盘（色号：Sunlit）
803004	Illuminating Face Palette - Moonlit	亮颜彩妆盘（色号：Moonlit）
803011	Medium Boar Bristle Round Brush	猪鬃毛中号圆筒发刷
557063	Travel-Sized Dry Texturizing Spray, 75ml	干发纹理喷雾，75ml
875468	Silverati Conditioner, 200ml	银丝护发素，200ml
557050	Gold Lust Repair & Restore Shampoo, 250ml	黄金修复洗发露，250ml
557051	Gold Lust Repair & Restore Conditioner, 200ml	黄金修复护发素，200ml
864179	Gold Lust Dry Shampoo, 250ml	黄金头发干洗喷雾，250ml
337710	Dry Texturizing Spray, 300ml	免洗强韧滋养型喷雾，300ml
491916	Gold Lust Nourishing Hair Oil, 100ml	黄金护发油，100ml
803005	Lip Lust Crème Lipstick - The Red	诱滑唇膏（色号：The Red）
491914	Shampoo for Magnificent Volume, 250ml	华丽丰盈洗发露，250ml
838683	Conditioner for Beautiful Color, 50ml	锁色护发素，50ml
591268	Travel-Sized Gold Lust Repair & Restore Conditioner, 50ml	旅行装黄金修复护发素，50ml
774600	Glaze For Beautiful Hair Color, 175ml	锁色釉彩发乳，175ml
557059	Superfine Hair Spray, 300ml	超细定型喷雾，300ml
838679	Shine Light Reflecting Spray, 200ml	莹亮喷雾，200ml
557065	Travel-Sized Signature Conditioner, 50ml	金牌护发素，50ml
838682	Shampoo for Beautiful Color, 50ml	锁色洗发露，50ml
838680	Thick Dry Finishing Spray, 250ml	蓬松干粉喷雾，250ml
838681	Soft Lacquer Heat Styling Spray, 200ml	柔和亮采热造型喷雾，200ml
337698	Signature Conditioner, 200ml	金牌护发素，200ml
713730	The Cleanse Clarifying Shampoo, 200ml	亮采净化洗发露，200ml
802997	Côte d’Azur Replenishing Body Wash, 250ml	蔚蓝海岸赋活身体沐浴乳，250ml
774710	Travel-Sized Bright Blonde Shampoo for Beautiful Color, 50ml	闪亮金发锁色洗发露旅行装，50ml
774602	Matte Waves Texture Lotion, 100ml	哑光卷发造型乳，100ml
838684	Crème for Style, 50ml	秀发造型霜, 50ml
774598	Gold Lust Repair & Restore Shampoo, 1000ml 	黄金修复洗发露，1000ml
713737	Ultra Gentle Conditioner, 200ml	极致温和护发素，200ml
803002	Night Ceremony Ultra-Rich Cream, 50ml	特效滋养晚霜，50ml
803008	The Lacquer High Shine Nail Polish - The Red	漆面高亮指甲油（色号：The Red）
804391	The Côte d’Azur Collection	Côte d'Azur 套装
557061	Travel-Sized Aprés Beach Wave and Shine Spray, 75ml	亮泽海滩波浪卷喷雾，75ml
838685	Thick Dry Finishing Spray, 75ml	丰盈干发喷雾，75ml
591272	Airbrush Root Touch-Up Spray - Blonde, 30ml	染后免洗发根补色喷雾，30ml（色号：Blonde）
713736	Ultra Gentle Shampoo, 250ml	极致温和洗发露， 250ml
337699	Signature Moisture Masque, 175ml	金牌保湿滋润发膜，175ml
