pid	English	Chinese
959464	Dry Hair Supplement (30 capsules)	告别干枯滋养胶囊（30 粒装）
959462	Oily Scalp Supplement (30 capsules)	告别出油滋养胶囊（30 粒装）
905473	Repair Kit	修复护发套装
766639	Wave Spray, 150ml	蓬松卷发喷雾，150ml
766635	Repair Conditioner, 250ml	修复护发素，250ml
766642	Treatment Masque, 8 x 9ml	护理发膜，8 x 9ml
847404	Curl Conditioner, 250ml	卷发护发素，250ml
847403	Curl Shampoo, 300ml	卷发洗发露, 300ml
827651	Curl Kit	卷发护理套装
766636	Texturizing Hair Spray, 130g	强韧滋养发型喷雾，130g
766640	Hair Oil, 45ml	多效护发油，45ml
766632	Volume Shampoo, 300ml	丰盈洗发露，300ml
847406	Medium Hair Spray, 204g	中强定型喷雾, 204g
766628	Clean Shampoo, 300ml	清爽洁净洗发液，300ml
766634	Repair Shampoo, 300ml	修复洗发露，300ml
766641	Finishing Crème, 100ml	定型发乳，100ml
766643	Soft Mousse, 190g	柔软摩丝, 190g
766638	Soft Hair Spray, 213g	柔和定型喷雾，213g
766630	Smooth Shampoo, 300ml	顺滑洗发露，300ml
766633	Volume Conditioner, 250ml	丰盈护发素，250ml
766631	Smooth Conditioner, 250ml	顺滑护发素，250ml
847405	Matte Pomade, 50ml	哑光发蜡
766629	Clean Conditioner, 250ml	清爽洁净护发素，250ml
766637	Dry Shampoo, 130g	头发干洗喷雾，130g
