pid	English	Chinese
937300	After Sun Scalp Mask, 75ml	晒后头皮发膜，75ml
937298	Instant Beach, 100ml	动感波浪卷喷雾，100ml
937299	Sun Shield, 100ml	秀发防晒喷雾，100ml
848263	Pamper Time Collection	宠爱秀发护理套装
848264	Spa Treatment Kit	水疗护发套装
767521	PK Prep Polishing Balm, 75ml	PK Prep 秀发亮泽滋养膏，75ml
767519	PK Prep Perfecting Spray, 125ml	PK 造型前喷雾，125ml
566564	Weatherproof Styling Froth, 150ml	防水造型摩丝，150 毫升
671692	PK Children's Grooming Brush	PK 儿童专用发刷
767520	PK Prep Plumping Cream, 100ml	PK Prep 丰盈润发乳，100ml
566559	Straight Hair Gel, 100ml	直发啫喱，100ml
566538	Elasticizer Pre-Shampoo Treatment, 500ml	洗发前专用焕发弹力护理乳，500ml
671690	PK Kids Detangling Spray, 150ml	PK 儿童专用顺发喷雾，150ml
566543	Moisture Balancing Shampoo, 250ml	保湿平衡洗发露，250ml
566572	Smooth Cream, 100ml	柔顺定型发霜，100ml
566560	Stimulating Scalp Mask, 75ml	焕活头皮发膜，75ml
566552	Daily Damage Defence Conditioning Spray, 250ml	日常损伤护理喷雾，250ml
566549	Moisture Balancing Conditioner, 250ml	滋润平衡护发素，250ml
566563	Pure Silver Conditioner, 250ml	精纯银丝护发素，250ml
566550	Moisture Extreme Conditioner, 200ml	极致保湿护发素，200ml
566548	Body Building Conditioner, 250ml	丰盈护发素，250ml
566558	Preen Cream, 100ml 	造型护发乳霜，100ml
628649	Geranium and Neroli Elasticizer Pre-Shampoo Treatment, 150ml	天竺葵橙花油洗发前专用弹力护理乳，150ml
566562	Flaky Itchy Scalp Toner, 250ml	去屑止痒头皮护理液，250 ml
566539	Elasticizer Extreme Pre-Shampoo Treatment, 150ml	洗发前专用极致弹力护理乳，150ml
566551	One More Day Dry Shampoo, 200ml	持久清新头发干洗喷雾，200ml
566545	Moisture Extreme Shampoo, 200ml	极致滋润洗发露，200ml
566554	Swimcap Cream, 150ml	游泳护发膏，150ml
566556	Scalp Toner, 250ml	头皮调理液，250ml
566557	PK4 Hair Dietary Supplements (120 tablets)	PK4 秀发健康膳食营养品（120 粒）
566537	Elasticizer Pre-Shampoo Treatment, 150ml	Elasticizer 洗发前专用弹力护理乳，150ml
566553	Maximizer Styling Spray, 250ml	完美造型喷雾，250 ml
566569	Tricho Pro - Step 1 Volumizing Protein Spray, 100ml	Tricho Pro - 第一步：蛋白丰盈喷雾，100 毫升
566570	Tricho 7 - Step 2 Volumizing Hair & Scalp Treatment, 100ml	Tricho 7 - 第二步：丰盈秀发及头皮护理，100 毫升
566568	Trichotherapy® Regime	Trichotherapy® 护发三部曲
