pid	English	Chinese
915851	Crystal-embellished crepe top	水晶缀饰绉纱上衣
915846	Silk crepe de chine shirt	真丝双绉衬衫
915845	Silk crepe de chine shirt	真丝双绉衬衫
886240	Round-frame acetate and gold-tone sunglasses	板材金色金属圆框太阳镜
915816	Wool dress	羊毛连衣裙
915836	Cropped printed wool-blend twill straight-leg pants	印花羊毛混纺斜纹布直筒九分裤
915841	Plissé twill midi skirt	细褶斜纹布中长半身裙
893553	Silk crepe de chine blouse	真丝双绉女衫
893518	Cropped wool jacket	短款羊毛夹克
893521	Camel hair jacket	骆驼毛夹克
893556	Pussy-bow cotton-poplin shirt	蝴蝶领结纯棉府绸衬衫
893508	Pleated cady mini dress	褶裥卡迪面料迷你连衣裙
893528	Metallic ribbed-knit turtleneck sweater	金属感罗纹针织高领毛衣
893536	Metallic ribbed-knit cardigan	金属感罗纹针织开襟衫
897181	Pionnière textured-leather trimmed leather shoulder bag	Pionnière 纹理皮革边饰单肩包
893526	Alpaca-blend bouclé sweater	羊驼毛混纺大毛圈布毛衣
861560	Ribbon Plexi two-tone textured-leather shoulder bag	Ribbon Plexi 双色纹理皮革单肩包
893524	Wool sweater	羊毛毛衣
861571	Ribbon crystal-embellished leather shoulder bag	Ribbon 水晶缀饰皮革单肩包
915847	Pussy-bow silk crepe de chine blouse	蝴蝶领结真丝双绉女衫
893543	Cropped checked flannel straight-leg pants	法兰绒格纹九分直筒牛仔裤
895521	Suede pumps	绒面革高跟鞋
893534	Wool sweater 	羊毛毛衣
861563	Ribbon leather shoulder bag	Ribbon 皮革单肩包
893549	Draped crepe midi skirt	垂坠感绉纱中长半身裙
893547	Pleated printed silk-voile midi skirt	褶裥印花真丝巴里纱中长半身裙
893531	Wool sweater	羊毛毛衣
861558	Ribbon color-block leather shoulder bag	Ribbon 拼色皮革单肩包
893551	Wool and cotton-blend tweed mini skirt	羊毛棉质混纺花呢迷你半身裙
893548	Button-embellished wool mini skirt	纽扣缀饰羊毛迷你半身裙
893519	Hooded quilted shell jacket	绗缝软壳面料连帽夹克
893520	Quilted shell down jacket	绗缝软壳面料羽绒夹克
893515	Quilted shell down jacket	绗缝软壳面料羽绒夹克
893550	Natte wool wrap mini skirt	Natte 羊毛围裹式迷你半身裙
893504	Belted shell trench coat	配腰带软壳面料风衣外套
893501	Shell trench coat	软壳面料风衣
918931	Glossed textured-leather pumps	亮面纹理皮革高跟鞋
893516	Hooded shell jacket	软壳面料连帽夹克
893541	Metallic floral-jacquard flared pants	金属感花卉提花喇叭裤
893529	Wool-blend bouclé polo shirt	羊毛混纺圈圈呢 Polo 衫
861572	Silver-tone, Swarovski crystal and resin bag strap	施华洛世奇水晶、树脂、银色金属包带
893546	Pleated metallic jacquard midi skirt	褶裥金属感提花中长半身裙
886239	Square-frame acetate and gold-tone sunglasses	板材金色金属方框太阳镜
863251	Feather-trimmed crinkled silk-chiffon camisole	羽毛边饰褶皱真丝雪纺吊带背心
861567	Ribbon large color-block leather clutch	Ribbon 撞色皮革大号手拿包
863261	Cropped appliquéd silk-gazar top	贴花硬质真丝短款上衣
886238	Round-frame acetate and gold-tone mirrored sunglasses	板材金色金属圆框镜面太阳镜
897161	Bibliothèque large leather tote	Bibliothèque 大号皮革手提包
863246	Feather-trimmed silk-georgette midi skirt	羽毛边饰真丝乔其纱中长半身裙
861562	Pionnière two-tone leather shoulder bag	Pionnière 双色皮革单肩包
900915	Embroidered leather belt	刺绣皮革腰带
863225	Feather-trimmed silk-georgette midi dress	羽毛边饰真丝乔其纱中长连衣裙
895532	Bow-embellished satin slippers	蝴蝶结缀饰缎布拖鞋
863224	Embellished silk-gazar midi dress	带缀饰真丝硬纱中长连衣裙
863240	Feather-trimmed silk-georgette straight-leg pants	羽毛边饰真丝乔其纱直筒裤
863260	Printed crepe top	印花绉纱上衣
895504	Suede platform boots	绒面革防水台踝靴
895498	Suede ankle boots	绒面革踝靴
895464	Suede ankle boots	绒面革踝靴
893545	Cropped wool-blend wide-leg pants	羊毛混纺九分阔腿裤
893539	Stretch-wool slim-leg pants	弹力羊毛窄腿裤
895480	Velvet platform sandals	天鹅绒防水台凉鞋
895522	Velvet platform sandals	天鹅绒防水台凉鞋
895500	Shearling-trimmed leather sneakers	羊毛皮边饰皮革运动鞋
886234	Square-frame gold-tone mirrored sunglasses 	金色金属方框镜面太阳镜
886237	Round-frame two-tone acetate sunglasses	双色板材圆框太阳镜
895525	Leopard-print calf hair platform sandals	豹纹小牛毛防水台凉鞋
895495	Velvet platform sandals	天鹅绒防水台凉鞋
863247	Embellished pleated silk-crepe wrap skirt	带缀饰褶裥真丝绉纱围裹式半身裙
812365	Ruffled printed cotton-blend top	褶饰印花棉质混纺上衣
861573	Silver-tone, Swarovski crystal and resin bag strap	施华洛世奇水晶、树脂、银色金属包带
812310	Hooded shell jacket	轻薄面料连帽夹克
817986	Zig Zag leather shoulder bag	Zig Zag 皮革单肩包
863235	Paneled leather jacket	拼接皮革夹克
863250	Feather-trimmed silk-chiffon blouse	羽毛边饰真丝雪纺女衫
895510	Patent-leather pumps 	漆皮中跟鞋
863239	Belted wool cardigan	配腰带羊毛开襟衫
823968	Toucan feather-trimmed paneled leather keychain	Toucan 羽毛边饰拼接皮革钥匙扣
812293	Silk-faille trench coat	真丝罗缎风衣
817994	Zig Zag leather shoulder bag	Zig Zag 皮革单肩包
812297	Embellished wool and silk-blend gown	带缀饰羊毛真丝混纺礼服
860764	Feather-embellished satin mules	羽毛缀饰缎布穆勒鞋
812349	Embellished silk-twill pajama set	带缀饰真丝斜纹布睡衣套装
861559	Pionnière two-tone leather shoulder bag	Pionnière 双色皮革单肩包
905090	Textured-leather continental wallet	纹理皮革长款钱包
905084	Vela leather-trimmed shell tote	Vela 皮革边饰软壳面料手提包
810598	Metallic leather Mary Jane pumps	金属感皮革玛丽珍中跟鞋
818013	Paneled textured-leather cardholder	拼接纹理皮革卡夹
817970	Textured-leather shoulder bag	纹理皮革单肩包
905091	Textured-leather wallet	纹理皮革钱包
823964	Textured-leather belt	纹理皮革腰带
817964	Textured-leather shoulder bag	纹理皮革单肩包
818032	Esplanade small smooth and textured-leather shoulder bag 	Esplanade 光滑皮革纹理皮革小号单肩包
895477	Leather ankle boots	皮革踝靴
895485	Glossed-leather platform brogues	亮面皮革厚底布洛克鞋
823972	Cheer Robot embellished textured-leather keychain	Cheer Robot 带缀饰纹理皮革钥匙扣
895520	Metallic textured-leather pumps	金属感纹理皮革中跟鞋
818024	Zig Zag Esplanade textured-leather tote	Zig Zag Esplanade 纹理皮革手提包
860839	Floral-embellished rubber slides	花卉缀饰橡胶拖鞋
823962	Embellished jacquard and faux fur keychain	带缀饰提花人造皮草钥匙扣
818001	Textured-leather shoulder bag	纹理皮革单肩包
817995	Galleria medium textured-leather tote	Galleria 纹理皮革中号手提包
817979	Galleria medium textured-leather tote 	Galleria 纹理皮革中号手提包
817976	Textured-leather shoulder bag	纹理皮革单肩包
861566	Pionnière leather-trimmed velvet shoulder bag	Pionnière 皮革边饰天鹅绒单肩包
823975	Printed textured-leather iPhone 6 Plus case	印花纹理皮革 iPhone 6 Plus 保护壳
861564	Cahier small two-tone leather shoulder bag	Cahier 双色皮革小号单肩包
817960	Midollino large leather-trimmed canvas and wicker tote	Midollino 皮革边饰帆布柳条大号手提包
818014	Textured-leather cardholder	纹理皮革卡夹
817981	Textured-leather pouch 	纹理皮革小袋
817997	Bibliothèque small leather tote 	Bibliothèque 皮革小号手提包
817988	Galleria Soft medium leather tote	Galleria Soft 皮革中号手提包
817948	Textured-leather shoulder bag	纹理皮革单肩包
817971	Giardiniera large printed canvas tote	Giardiniera 大号印花帆布手提包
818010	Textured-leather cardholder	纹理皮革卡夹
818003	Esplanade smooth and textured-leather shoulder bag 	Esplanade 光滑纹理皮革单肩包
818006	Zig Zag textured-leather continental wallet 	Zig Zag 纹理皮革长款钱包
818041	Textured-leather wallet 	纹理皮革钱包
817989	Textured-leather cardholder	纹理皮革卡夹
818015	Galleria Garden mini appliquéd textured-leather tote	Galleria Garden 迷你贴花纹理皮革手提包
817984	Galleria mini textured-leather tote	Galleria 纹理皮革迷你手提包
817957	Galleria medium textured-leather tote	Galleria 纹理皮革中号手提包
817999	Galleria mini textured-leather tote	Galleria 纹理皮革迷你手提包
823965	Vela leather-trimmed shell cosmetics case	Vela 皮革边饰尼龙化妆包
817985	Textured-leather continental wallet	纹理皮革长款钱包
817996	Textured-leather continental wallet 	纹理皮革长款钱包
817990	Textured-leather cardholder	纹理皮革卡包
817968	Textured-leather continental wallet	纹理皮革长款钱包
817966	Galleria mini textured-leather tote	Galleria 纹理皮革迷你手提包
817973	Galleria medium textured-leather tote	Galleria 纹理皮革中号手提包
812351	Striped cotton-jersey top	条纹纯棉平纹针织上衣
755389	Textured-leather shoulder bag	纹理皮革单肩包
817972	Galleria large textured-leather tote 	Galleria 纹理皮革大号手提包
823963	Vela textured leather-trimmed shell cosmetics case	Vela 纹理皮革边饰尼龙化妆包
810604	Linea Rossa leather platform sneakers	Linea Rossa 皮革厚底运动鞋
810608	Metallic textured-leather pumps	金属感纹理皮革中跟鞋
810605	Embellished metallic leather espadrille sandals	带缀饰金属感皮革麻底凉鞋
810622	Glossed-leather platform sandals	亮面皮革防水台凉鞋
810635	Leather platform espadrilles	皮革防水台麻底鞋
810603	Satin platform sandals	缎布防水台凉鞋
810641	Two-tone leather espadrilles 	双色皮革麻底鞋
810596	Suede platform sandals	绒面革防水台凉鞋
810597	Patent-leather pumps	漆皮中跟鞋
810601	Metallic leather platform sandals	金属感皮革防水台凉鞋
810595	Scalloped suede sandals	扇贝边绒面革凉鞋
755403	Promenade textured-leather tote	Promenade 纹理皮革手提包
755427	Esplanade small two-tone leather shoulder bag	Esplanade 双色皮革小号单肩包
755443	Cahier small two-tone leather tote	Cahier 双色皮革小号手提包
760883	Leather and shell boots	皮革轻薄面料靴子
755391	Galleria medium textured-leather tote 	Galleria 中号纹理皮革手提包
753925	Fringed leather gloves	流苏皮革手套
755412	Wallet On A Chain textured-leather shoulder bag	Wallet On A Chain 纹理皮革单肩包
755407	Galleria Baby textured-leather tote	Galleria Baby 纹理皮革手提包
755397	Galleria mini textured-leather tote	Galleria 纹理皮革迷你手提包
755422	Esplanade small two-tone textured-leather tote 	Esplanade 双色纹理皮革小号手提包
755415	Inside leather tote	Inside 皮革手提包
743714	Metallic leather brogues	金属感皮革布洛克鞋
755417	Wallet On A Chain velvet shoulder bag	Wallet On A Chain 天鹅绒单肩包
755437	Messenger leather and quilted velvet shoulder bag	Messenger 皮革绗缝天鹅绒单肩包
755442	Messenger embellished leather shoulder bag	Messenger 带缀饰皮革单肩包
810609	Metallic textured-leather sneakers	金属感纹理皮革运动鞋
753916	Textured-leather keychain	纹理皮革钥匙扣
755439	Pionnière canvas-trimmed two-tone leather shoulder bag	Pionnière 帆布边饰双色皮革单肩包
755390	Galleria medium textured-leather tote	Galleria 中号纹理皮革手提包
755421	Bibliothèque textured-leather tote	Bibliothèque 纹理皮革手提包
743739	Metallic textured-leather pumps	金属感纹理皮革高跟鞋
755408	Wallet On A Chain textured-leather shoulder bag 	Wallet On A Chain 纹理皮革单肩包
755450	Bibliothèque textured-leather tote 	Bibliothèque 纹理皮革手提包
743712	Leather platform brogues	皮革防水台布洛克鞋
755404	Textured-leather camera bag	纹理皮革相机包
755420	Bibliothèque watersnake-paneled leather tote	Bibliothèque 水蛇皮拼接皮革手提包
755394	Promenade textured-leather tote	Promenade 纹理皮革手提包
755392	Textured-leather tote	纹理皮革手提包
743721	Glossed textured-leather pumps	亮面纹理皮革高跟鞋
744698	Glossed textured-leather pumps	亮面纹理皮革高跟鞋
755406	Bauletto textured-leather tote	Bauletto 纹理皮革手提包
755399	Bauletto textured-leather tote	Bauletto 纹理皮革手提包
905089	Travel textured-leather continental wallet 	Travel 纹理皮革长款钱包
905087	Wallet On A Chain textured-leather shoulder bag	Wallet On A Chain 纹理皮革单肩包
905081	Textured-leather shoulder bag	纹理皮革单肩包
905092	Textured-leather cardholder	纹理皮革卡夹
905080	Vela small textured-leather trimmed shell backpack	Vela 纹理皮革边饰软壳面料小号双肩包
905082	Galleria large textured-leather tote	Galleria 纹理皮革大号手提包
905086	Galleria Baby textured-leather tote	Galleria Baby 纹理皮革手提包
905094	Galleria mini textured-leather tote	Galleria 纹理皮革迷你手提包
905088	Textured-leather continental wallet	纹理皮革长款钱包
905093	Driade textured-leather tote	Driade 纹理皮革手提包
913446	Textured leather-trimmed shell cosmetics case	纹理皮革边饰软壳面料化妆包
861568	Ribbon leather shoulder bag	Ribbon 皮革单肩包
860758	Metallic leather slingback pumps	金属感皮革露跟中跟鞋
860753	Satin mules	缎布穆勒鞋
755409	Textured-leather wallet 	纹理皮革钱包
817987	Textured-leather shoulder bag	纹理皮革单肩包
893523	Wool sweater	羊毛毛衣
897171	Paradigme textured-leather tote	Paradigme 纹理皮革手提包
897179	Pionnière two-tone leather shoulder bag	Pionnière 双色皮革单肩包
