pid	English	Chinese
850187	Radiance Virtual Bundle	光彩立现套装
850188	REN Pure Glow Trio	REN 纯净闪耀三件套装
640099	Wake Wonderful Night-Time Facial, 40ml	奇焕新生晚间精华，40ml
850186	Radiance Kit	活力亮颜套装
496983	V-Cense Youth Vitality Day Cream, 50ml 	紧致 V 活力日霜，50ml
821672	Flash Hydro-Boost Instant Plumping Emulsion, 40ml	瞬效丰润保湿乳，40ml
496985	Flash Rinse 1 Minute Facial, 75ml	快速冲洗一分钟面膜，75ml
821673	Evercalm™ Global Protection Day Cream, 50ml	Evercalm™ 全效日霜，50ml
821674	Evercalm™ Anti-Redness Serum, 30ml	Evercalm™ 红血丝舒缓精华，30ml
769165	Flash Defense Anti-Pollution Mist, 60ml	防射线抗污染喷雾，60ml
496980	Bio Retinoid Anti-Ageing Concentrate, 30ml	维他命 A 抗皱抚纹精华，30ml
732649	Instant Brightening Beauty Shot Eye Lift, 15ml	提拉紧致亮眼精华, 15ml
612949	Moroccan Rose Gold Glow Perfect Dry Oil, 100ml	摩洛哥玫瑰金碧华彩完美精油，100ml
436439	Moroccan Rose Otto Ultra-Moisture Body Oil, 100ml	摩洛哥奥图玫瑰极致保湿身体油，100ml
436437	Moroccan Rose Otto Body Wash, 200ml	摩洛哥奥图玫瑰沐浴露，200ml
436440	Moroccan Rose Otto Sugar Body Polish, 330ml	摩洛哥奥图玫瑰蔗糖身体磨砂膏，330ml
496984	V-Cense Revitalising Night Cream, 50ml	紧致 V 赋活晚霜，50ml
576073	Instant Firming Beauty Shot, 30ml	瞬时紧致焕颜精华，30ml
436438	Moroccan Rose Otto Bath Oil, 110ml	摩洛哥奥图玫瑰沐浴油，110ml
496981	Keep Young and Beautiful Firming and Smoothing Serum, 30ml	永葆青春紧致柔滑精华液，30ml
496979	Bio Retinoid Anti-Ageing Cream, 50ml	维他命 A 抗皱抚纹精华霜，50ml
436441	Moroccan Rose Otto Firming Crème Riche, 200ml	摩洛哥奥图玫瑰紧肤乳，200ml
439571	Glycol Lactic Radiance Renewal Mask, 50ml	果酸亮采焕肤面膜，50ml
436436	Radiance Perfection Serum, 30ml	完美亮颜精华露，30ml
496982	Keep Young and Beautiful Firm and Lift Eye Cream, 15ml	永葆青春紧致提拉眼霜，15ml
