pid	English	Chinese
490179	Lip Shine - Royal	莹润唇彩（色号：Royal）
949537	Signature Set - Pop Collection	经典组合（色号：Pop Collection）
949538	Signature Set - Mod Collection	经典组合（色号：Mod Collection）
490176	Cream Eye Polish - Inspire	滋养眼影霜（色号：Inspire）
681141	The Ultimate Makeup Remover Wipes x 20	高效卸妆棉片（20 片装）
490177	Cream Eye Polish - Imagine	滋养眼影霜（色号：Imagine）
401606	Living Luminizer, 4.82g	活性亮肌膏，4.25g
401601	Un Coverup - Shade 22, 5.67g	遮瑕膏，5.67g（色号：22）
909659	Swift Shadow - Garden Rose GR-19 	瞬彩亮眸眼影（色号：Garden Rose GR-19）
883981	Magic Luminizer, 4.82g	魔法亮颜膏，4.82g
909660	Swift Shadow - Sunset Beach SB-46	瞬彩亮眸眼影（色号：Sunset Beach SB-46）
401600	Un Coverup - Shade 11, 5.67g	遮瑕膏，5.67g（色号：11）
909661	Swift Shadow - Tempting Touch TT-71	瞬彩亮眸眼影（色号：Tempting Touch TT-71）
909662	Powder Eyeshadow Brush	眼影粉刷
401605	Raw Coconut Cream, 70g	天然椰子乳霜，70g
909658	Swift Shadow - Garden Rose GR-12 	瞬彩亮眸眼影（色号：Garden Rose GR-12）
401604	Un Powder, 9g	定妆散粉，9g
490180	Lip2cheek - Curious Orange	唇颊两用润色膏（色号：Curious Orange）
446977	Lip2cheek - Beloved	唇颊两用润色膏（色号：Beloved）
446976	Un Coverup - Shade 00, 5.67g	遮瑕膏，5.67g（色号：00）
779384	Lip Shine - Content	莹润唇彩（色号：Content）
768094	Nail Polish - Killer Red	指甲油（色号：Killer Red）
723033	Master Mixer	多效亮采霜
607350	Lip & Skin Balm - Simply Vanilla	唇颊两用香草润肤膏
793374	Eye Polish Brush	眼影膏专用化妆刷
779386	Contour Bronze	修容膏
440471	Buriti Bronzer, 5.67g	布荔蒂古铜膏，5.67g
779387	Un Coverup - Shade 000, 5.67g	遮瑕膏，5.67g（色号：000）
793373	Cream Eye Polish - Lucky	滋养眼影霜（色号：Lucky）
779385	Lip2Cheek - Spell	唇颊两用润色膏（色号：Spell）
580287	Cream Eye Polish - Myth	滋养眼影霜（色号：Myth）
607349	Volumizing mascara	丰盈睫毛膏
598433	Tinted Un Powder - Shade 0-1, 9g	润色定妆散粉，9g (色号：0-1）
598434	Tinted Un Powder - Shade 2-3, 9g	润色定妆散粉，9g （色号：2-3）
621751	skin2skin Foundation Brush	丝柔亲肤粉底刷
607348	Beauty Oil, 30ml	美颜油，30ml
490178	Cream Eye Shadow - Magnetic	眼影霜（色号：Magnetic）
672658	Nail Polish - Sublime	指甲油（色号：Sublime）
672659	Nail polish - Magnetic	指甲油（色号：Magnetic）
417289	Lip2cheek - Demure	唇颊两用润色膏（色号：Demure）
607355	Lip2cheek - Diabolique	唇颊两用润色膏（色号：Diabolique）
598435	Tinted Un Powder - Shade 3-4, 9g	润色定妆散粉，9g （色号：3-4）
672661	Nail Polish - Diabolique	指甲油（色号：Diabolique）
672656	Nail Polish - Beloved	指甲油（色号：Beloved）
672657	Nail Polish - Luminizer	指甲油（色号：Luminizer）
672660	Nail Polish - Smile	指甲油（色号：Smile）
621752	skin2skin Blush Brush	丝柔亲肤腮红刷
607352	Lip Shine - Bloom	莹润唇彩（色号：Bloom）
401603	Un Coverup - Shade 44, 5.67g	遮瑕膏，5.67g（色号：44）
401602	Un Coverup - Shade 33, 5.67g	遮瑕膏，5.67g（色号：33）
607354	Lip2cheek - Promise	唇颊两用润色膏（色号：Promise）
607351	Lip Shine - Sacred	莹润唇彩（色号：Sacred）
417290	Lip Shine - Sublime	莹润唇彩（色号：Sublime）
