pid	English	Chinese
886312	Grandioso Volumizing Spray, 100ml	灵秀丰盈喷雾，100ml
886468	Splendido Color Maintenance Shampoo, 200ml	完美锁色洗发乳，200ml
886469	Grandioso Volumising Shampoo, 200ml	灵秀丰盈洗发露，200ml
886471	Splendido Colour Maintenance Conditioner, 200ml	完美锁色护发素，200ml
886470	Intenso Softening and Smoothing Shampoo, 200ml	强效呵护柔滑洗发乳，200ml
886472	Grandioso Volumising Conditioner, 200ml	灵秀丰盈护发素，200ml
886313	Dolce Protective and Detangling Spray, 100ml	柔顺护发喷雾，100ml
886314	Favoloso Natural Hair Movement Enhancer, 100ml	焕采盈动护发喷雾，100ml
886311	Intenso Softening and Smoothing Hair Mask, 250ml	强效柔顺发膜，250ml
886317	Prodigio Regenerating Potion, 50ml	奇迹再生护发精华，50ml
886316	Intenso Softening and Smoothing Serum, 100ml	强效柔顺护发精华，100ml
886315	Prodigio Regenerating Treatment, 200ml	Prodigio 焕活护理发乳，200ml
