pid	English	Chinese
974908	Enchanted Island Salt Spray, 124ml	世外之岛卷发定型海盐喷雾，124ml
913103	Color Full Hair Mask, 200ml	焕彩锁色发膜，200ml
913102	Color Full Conditioner, 275ml	焕彩锁色护发素，275ml
901230	Freestyle Texturizer	秀发造型乳
913101	Color Full Shampoo, 275ml	焕彩锁色洗发露，275ml
679209	Gift Box	丝滑新生护发礼盒
780074	Rahua Control Cream Curl Styler 	卷发造型定型乳
844945	Jet Setter Hair and Body set	洗头沐浴旅行套装
761893	Rahua Elixir Daily Hair Drops, 15ml	日常护发精华油，15ml
785768	Hair Detox & Renewal Treatment Kit	秀发排毒和修复保养套装
536835	Body Shower Gel, 260ml	沐浴露，260ml
667416	Defining Hair Spray, 157ml	秀发定型喷雾，157ml
536834	Body Amazon Oil, 60ml	亚马逊身体油，60ml
461484	Voluminous Conditioner, 275ml	丰盈护发素，275ml
536827	Body Lotion, 200ml	身体乳，200ml
667417	Voluminous Dry Shampoo, 51g	丰盈头发干洗喷雾，51g
461483	Voluminous Shampoo, 275ml	丰盈洗发水，275ml
436860	Omega 9 Hair Mask, 200ml	Omega 9 发膜，200ml
461486	Finishing Treatment, 60ml	护发霜，60ml
398924	Hair Elixir, 30ml	护发油，30ml
398923	Conditioner, 275ml	护发素，275ml
398922	Shampoo, 275ml	洗发水，275ml
461485	Hair Wax, 89ml	发蜡，89ml
