pid	English	Chinese
922014	Dry Volume Powder Shampoo, 200ml	丰盈头发干洗喷雾，200ml
922012	Colour Protect Shampoo, 250ml	锁色洗发水，250ml
922013	Colour Protect Conditioner, 250ml	锁色护发素，250ml
922010	Moisturizing Shampoo, 250ml	滋润洗发露，250ml
922011	Moisturizing Conditioner, 250ml	滋润护发素，250ml
922015	Dark Dry Volume Powder Shampoo, 200ml	浓黑丰盈头发干洗喷雾，200ml
922008	Normalizing Shampoo, 250ml	修复洗发露，250ml
922009	Normalizing Conditioner, 250ml	修复护发素，250ml
778909	Scalp Shampoo, 100ml	头皮护理洗发露，100ml
831859	Thickening Shampoo, 250ml	密丝洗发露，250ml
442491	Ocean Mist Texturizing Spray, 150ml	海洋微风蓬发喷雾，150ml
831860	Thickening Conditioner, 250ml	密丝护发素，250ml
778908	Volume Conditioner, 100ml 	丰盈蓬发护发素，100ml
442514	Scalp Shampoo, 250ml	头皮护理洗发露，250ml
442515	Hair Repair, 250ml	秀发修复霜，250ml
660399	Body Wash - Ginger Flower, 300ml	姜花沐浴露，300ml
660388	Ocean Mist Volume Shampoo, 250ml	海洋微风丰盈洗发露，250ml
660390	Overnight Hair Repair, 100ml	夜间秀发修复乳，100ml
660397	Hair After The Sun, 125ml	晒后修复乳，125ml
660389	Ocean Mist Volume Conditioner, 250ml	海洋微风丰盈护发素，250ml
442486	Volume Conditioner, 250ml	丰盈蓬发护发素，250ml
660400	Body Lotion - Ginger Flower, 300ml	姜花身体乳液，300ml
660391	Hairspray - Light & Flexible, 300ml	轻透造型喷雾
660396	Hair In The Sun, 125ml	防晒护发乳，125ml
442516	Volume Cream, 125ml	丰盈蓬发乳霜，125ml

660398	Protective Hair Perfume, 50ml	防护秀发香水，50ml
660394	Root Lift - Strong Hold, 200ml	强效丰盈发根喷雾，200ml
660393	Straight and Shine Spray, 200ml	直发亮泽喷雾，200ml
442487	Leave-In Conditioner, 250ml	免洗护发素，250ml
660395	Shine Serum, 30ml	亮泽护发精华，30ml
442488	Intensive Hair Oil, 50ml	强效护发油，50ml
660392	Hair Mousse - Medium Hold, 200ml	丰盈秀发摩丝，200ml（中度定型）
