pid	English	Chinese
832412	Lux Volume Shampoo, 200ml	奢华丰盈洗发乳，200ml
832413	Lux Volume Conditioner, 200ml	奢华丰盈护发素，200ml
639704	Lux Volume Mousse, 176ml	奢华丰盈摩丝，176ml
692681	Riche Grooming Balm, 150ml	丰盈护发乳，150ml
639706	Premiere Finishing Spray, 255ml	首映礼定型喷雾，255ml
639707	Premiere Working Texture Spray, 250ml	首映礼丝盈质感喷雾，250ml
692680	Couture Curl Enhancing Lotion, 150ml	定制发卷提升乳液，150ml
832410	Pure Moisture Conditioner, 200ml	精纯滋养护发素，200ml
832415	Sublime Repair Shampoo, 200ml	纯奢修护洗发露，200ml
832414	Riche Leave-In Conditioner, 150ml	乳润免洗护发素，150ml
832416	Sublime Repair Conditioner, 200ml	纯奢修护护发素，200ml
832409	Pure Moisture Shampoo, 200ml	精纯滋养洗发露，200ml
832417	Sublime Repair Treatment Mask, 200ml	纯奢修护发膜，200ml
692678	Premiere Finishing Spray, 50ml	首映礼定型喷雾，50ml
832411	Pure Moisture Treatment Mask, 200ml	精纯滋养发膜，200ml
692679	Premiere Dry Shampoo, 50ml	魔幻首映头发干洗喷雾，50ml
639705	Premiere Dry Shampoo, 265ml	魔幻首映头发干洗喷雾，265ml
442705	Divine Thickening Mist, 150ml	卓效致密喷雾，150ml
639708	Decadence Hair Fragrance, 30ml	颓靡秀发香水，30ml
442704	Sheer Thermal Protect, 150ml	薄透防热喷雾，150ml
442702	Pure Treatment Oil, 60ml	精纯护发油，60ml
442703	Divine Thickening Lotion, 150ml	卓效致密润发乳，150ml
442706	Lux Volume Lotion, 150ml	奢华丰盈润发乳，150ml
442707	Lux Volume Mist, 150ml	奢华丰盈喷雾，150ml
