pid	English	Chinese
850469	Midnight Oil Starter Kit	夜间护理入门套装
850417	Soveral Forever Young Oil Starter Kit	青春永驻入门套装
582888	Midnight Oil, 15ml	夜间护理油, 15ml
486270	Volcano Ash Transformative Mask, 50ml	火山灰净化面膜，50ml
486273	Spotless Spot Treatment Gel, 15ml	去痘无痕啫喱，15ml
486271	Forever Young Eye Balm, 15ml	青春赋活眼霜，15ml
460089	Formula 1 Skin Life Support Moisturizer, 50ml	一号配方赋活面霜，50ml
460090	Forever Young Rejuvenating Face Oil, 15ml	青春永驻活肤面部护理油，15ml
486272	Floral Rain Toning Mist - Rose & Neroli, 250ml	Floral Rain 爽肤喷雾，250ml（香型：玫瑰 & 橙花油）
582886	Awaken Cleanser, 250ml	焕颜洁面乳, 250ml
582889	Mandarin Kiss Lip Restore Balm, 15ml	甜柑吻蜜修复唇膏, 15ml
460088	Angel Balm Deep Pore Cleanser and Regenerative Mask, 60ml	天使多效膏，60ml
460091	Forever Young Rejuvenating Face Oil, 30ml	青春永驻活肤面部护理油，30ml
582887	Moody Skin Balancing Moisturiser, 50ml	肌肤救星平衡润肤霜, 50ml
579483	Forever Young & Midnight Oil Starter Kit	日夜护理入门套装
460087	Formula 1 Skin Life Support Moisturizer, 15ml	一号配方赋活保湿霜，15ml
