pid	English	Chinese
938273	Sunday Night Facial	周末夜间面部护肤套装
938274	Overnight Lip Concentrate, 6.5ml	晚安唇部精华，6.5ml
884598	Skinesis Spot Sticker - Set of 20	隐形祛痘贴（20 片装）
479826	Skinesis Bodylift	塑形身体按摩器
343871	Skinesis Facialift	塑颜面部按摩器
851716	Skinesis Lash Boosting Eye Cleanse, 70ml	Skinesis 睫毛滋养眼部清洁乳，70ml
341918	Skinesis Eye Recovery, 15ml	眼部修护精华液，15ml
770511	Professional Cleansing Mitts x 4	专业洁面手套（四只装）
487436	3D Moisture Infusion Mask, 4 x 25ml	立体凝水保湿面膜，4 x 25ml
529212	Skinesis Morning Facial, 15ml	早安面部精华，15ml
850286	The Ultimate Facialift Cleanse Kit	终极塑颜洁面套装
821417	Skinesis Stem Cell Collagen Activator, 2 x 10ml	干细胞胶原蛋白激活精华露，2 x 10 mls
770510	Lip Enhancer Duo, 2 x 6ml	丰唇双星，2 x 6ml
656006	Overnight Exfoliating Booster, 30ml	夜间去角质醒肤露，30ml
656005	Skin Tone Perfecting Booster, 30ml	完美亮采醒肤露，30ml
341919	Skinesis Overnight Facial, 15ml	晚安面部护理油，15ml
544926	Rapid Radiance Cleanse, 100ml	速效亮采洁面乳，100ml
681252	Skinesis Liquid Facial Resurfacer, 100ml	理肤之道面部再生精华液，100ml
342332	Skinesis Instant Miracle Mask, 4 x 15g	瞬间魔力活肤面膜，4 x 15g
590191	Intense Hydrating Booster, 30ml	深层补水醒肤露，30ml
341916	Skinesis Age-Repair Concentrate, 30ml	岁月修护浓缩精华，30ml
343872	Skinesis Stem Cell Collagen Activator, 4 x 10ml	干细胞胶原蛋白激活精华露，4 x 10ml
390054	Skinesis Overnight Hand and Nail Treatment, 15ml	夜间手部指甲护理油，15ml
390055	Skinesis Neck and Chest Rejuvenating Complex, 40ml	颈部和胸部赋活复方精油，40ml
418496	Overnight Body Treatment, 120ml	夜间身体修护乳，120ml
341915	Skinesis Age-Repair Serum, 30ml	Skinesis 岁月修护精华液，30ml
656007	Chin and Jaw Masks x 6	下巴和下颌面膜（六片装）
341914	Skinesis Ultimate Cleanse, 100ml	终极洁面乳，100ml
342334	Skinesis Dynamic Defence SPF15, 40ml	动能防护日霜 SPF15 ，40ml
