pid	English	Chinese
913936	Eye Makeup Remover Wipes	眼部卸妆湿巾
913935	Mascara – Black	睫毛膏（色号：Black）
913928	Lipstick - Mise à Mort 1	唇膏（色号：Mise à Mort 1）
913925	Water Lip Color - 1 Chardon 	水漾唇蜜（色号：1 Chardon）
913929	Lipstick - Garde Rose 10	唇膏（色号：Garde Rose 10）
913926	Water Lip Color - 5 Terre d'Ombres	水漾唇蜜（色号：5 Terre d'Ombres）
913931	Lipstick - Compliment Beige 28	唇膏（色号：Compliment Beige 28）
913930	Lipstick - Roman Rouge 2	唇膏（色号：Roman Rouge 2）
913934	Lip Palette - 2	唇膏盘（色号：2 号）
913932	Lip Comfort	救星润唇膏
913933	Lip Palette - 1	唇膏盘（色号：1 号）
352544	Eau de Parfum - Un Bois Vanille, 50ml	Un Bois Vanille 香水，50ml
352543	Eau de Parfum - Datura Noir, 50ml	Datura Noir 香水，50ml 
352541	Eau de Parfum - Sa Majesté La Rose, 50ml	Sa Majesté La Rose 香水，50ml
