pid	English	Chinese
490068	SPF36 UV Protective Compact Foundation Refill - Medium Ochre	新艳阳夏专业防晒粉饼芯 SPF36（色号：Medium Ochre）
490069	SPF36 UV Protective Compact Foundation Refill - Medium Ivory	新艳阳夏专业防晒粉饼芯 SPF36（色号：Medium Ivory）
597652	Automatic Fine Eyeliner - Black	至美眼线液（色号：Black）
597657	Pureness Oil Control Blotting Paper, 100 sheets	净透控油吸油纸，100 张
597649	Future Solution LX Concentrated Balancing Softener, 150ml	时光琉璃御藏集效修护柔肤水，150ml
593262	White Lucent All Day Brightener SPF22, 50ml	新透白美肌全日明肌乳 SPF22，50ml
367823	Eyelash Curler	睫毛夹
597656	Translucent Pressed Powder	光幻透明粉饼
597651	Future Solution LX Total Regenerating Cream, 50ml	资生堂时光琉璃御藏夜用精华霜，50ml
597655	Translucent Loose Powder	透明散粉
490067	SPF36 UV Protective Compact Foundation Refill - Light Ochre	新艳阳夏专业防晒粉饼芯 SPF36（色号：Light Ochre）
597654	Smoothing Eyeliner Pencil - Brown	柔滑奕采眼线笔（色号：Brown）
490071	Sun Protection Lip Treatment	防晒护唇膏
417367	Sun Urban Environment Tinted UV Protector SPF43 - Shade 3, 30ml	新艳阳夏润色防晒露 SPF43，30ml （色号：3 号）
367821	Future Solution LX Ultimate Regenerating Serum, 30ml	时光琉璃御藏极致再生精华素，30ml
593263	White Lucent Power Brightening Masks x 6	新透白美肌源动力美白面膜（六片装）
597653	Smoothing Eyeliner Pencil - Black	柔滑奕采眼线笔（色号：Black）
593266	Sun Protection Eye Cream SPF34, 15ml	眼部防晒霜 SPF34，15ml
597646	Ultimate Sun Protection Lotion SPF50 WetForce, 100ml	新艳阳夏水离子极致防晒乳 SPF50，100ml
597647	Ultimate Sun Protection Cream SPF50 WetForce, 50ml	新艳阳夏水离子极致防晒霜 SPF50， 50ml
490072	Benefiance WrinkleResist24 Pure Retinol Eye Masks x 12	盼丽风姿质纯抗皱眼膜（12 对装）
490073	Ultimate Sun Protection Spray SPF50, 150ml	极致防晒喷雾 SPF50，150ml
417365	Sun Urban Environment Tinted UV Protector SPF43 - Shade 1, 30ml	日常润色防晒露 SPF43，30ml （色号：1 号）
367825	Bio-Performance Super Exfoliating Discs	百优优效洁肤棉
