pid	English	Chinese
904964	Eyeliner Brush	眼线刷
904780	Gentle Brush for Face and Neck	面颈轻柔美肤软刷
904812	Kabuki brush	舞伎粉刷
904713	Blush brush	腮红刷
904793	Hydrating Long Lasting Lipstick - 15 Baby Doll	抗氧保湿唇膏（色号：15 Baby Doll）
904855	Phyto Lip Shine - 1 Sheer Nude	植物莹亮唇膏（色号：1 Sheer Nude）
904859	Phyto Lip Shine - 5 Sheer Raspberry	植物莹亮唇膏（色号：5 Sheer Raspberry）
957555	Black Rose Skin Infusion Cream, 50ml	黑玫瑰水润乳，50ml
904778	Fluid Foundation Brush	液体粉底刷
760798	Self-Tanning Hydrating Body Skin Care, 150ml	美黑保湿护体霜，150ml
904866	Phyto Lip Shine - 13 Sheer Beige	植物莹亮唇膏（色号：13 Sheer Beige）
904873	Phyto-Lip Star - 4 Light Amethyst	植物星灿护唇蜜（色号：4 Light Amethyst）
904751	Phyto-Ombre Éclat Eyeshadow - 2 Sorbet	植物亮彩眼影（色号：2 Sorbet）
904869	Phyto Lip Shine - 18 Sheer Berry	植物莹亮唇膏（色号：18 Sheer Berry）
904752	Phyto-Ombre Éclat Eyeshadow - 3 Dune	植物炫彩眼影（色号：3 Dune）
904784	Grapefruit Toning Lotion, 250ml	调理护肤水，250ml
904725	Eau du Soir Eau de Parfum - Grapefruit and Mandarin Orange, 100ml	夜幽情怀香水，100ml（香调：葡萄柚、柑橘）
904787	Hydrating Long Lasting Lipstick - 3 Bois de Rose	抗氧保湿唇膏（色号：3 Bois de Rose）
904749	Phyto-Ombre Éclat Long-Lasting Eyeshadow - 1 Vanilla	植物亮采眼影（色号：1 Vanilla）
904876	Phyto Lip Star - 7 Sparkling Topaze	植物星灿护唇蜜（色号：7 Sparkling Topaze）
904798	Hydrating Long Lasting Lipstick - 21 Rose Paplemousse	抗氧保湿唇膏（色号：21 Rose Paplemousse）
904754	Phyto-Ombre Éclat Eyeshadow - 7 Toffee	植物亮采眼影（色号：7 Toffee）
904775	Eyeshadow Shade Brush	眼影刷
904899	Phyto Loose Face Powder - 3 Rose D'Orient	植物蜜粉（色号：3 Rose D'Orient）
904930	Powder Brush	专业粉刷
904804	Hydrating Long Lasting Lipstick - L28 Coral Pink	抗氧保湿唇膏（色号：L28 Coral Pink）
904953	Tinted Body Sun Glow Gel, 100ml	莹亮日晒身体润色凝胶，100ml
904870	Phyto-Lip Star - 1 White Diamond	植物星灿护唇蜜（色号：1 White Diamond）
904777	Eyeshadow Smudge Brush	眼影晕染刷
356823	Ecological Compound, 125ml	全能乳液，125ml
904877	Phyto-Lip Star - 8 Rose Quartz	植物星灿护唇蜜（色号：8 Rose Quartz）
904840	Phyto-Lèvres Perfect Lipliner - 5 Burgundy	植物凝色唇线笔（色号：5 Burgundy）
904822	Phyto-Eye Twist Long-Lasting Eyeshadow - 10 Amethyst	漾泽眼影彩笔（色号：10 Amethyst）
904810	Hydrating Long Lasting Lipstick - 34 Rose Petunia	抗氧保湿唇膏（色号：34 Rose Petunia）
904858	Phyto Lip Shine - 4 Sheer Rosewood	植物莹亮唇膏（色号：4 Sheer Rosewood）
904743	Eau Tropicale Eau de Toilette - Bergamot, Hibiscus & Ginger, 50ml	热带奇幻香氛，50ml（香调：佛手柑、木槿、姜）
904817	Phyto-Blush Éclat - 3 Mango	植物双色修容腮红（色号：3 Mango）
904885	Phyto-Lip Twist Tinted Balm - 10 Sugar	植物闪漾唇线笔（色号：10 Sugar）
904890	Phyto-Mascara Ultra-Stretch - 3 Deep Blue	植物纤长睫毛膏（色号：3 Deep Blue）
904863	Phyto Lip Shine - 9 Sheer Cherry	植物莹亮唇膏（色号：9 Sheer Cherry）
904766	Phyto-Ombre Éclat Eyeshadow - 19 Ebony	植物亮采眼影（色号：19 Ebony）
904788	Hydrating Long Lasting Lipstick - L9 Pinky	抗氧保湿唇膏（色号：L9 Pinky）
904813	Highlighter Blush - L'Orchidée 	莹彩馨兰修颜腮红（色号：L'Orchidée）
904888	Phyto Ultra-Stretch Mascara - 1 Deep Black	植物纤长睫毛膏（色号：1 Deep Black）
904801	Hydrating Long Lasting Lipstick - L25 Rouge Geisha	抗氧保湿唇膏（色号：L25 Rouge Geisha）
904836	Phyto-Lèvres Perfect Lipliner - 1 Nude	植物凝色唇线笔（色号：1 Nude）
904838	Phyto-Lèvres Perfect Lipliner - 3 Rose Thé	植物凝色唇线笔（色号：3 Rose Thé）
904844	Phyto-Levres Perfect Lipliner - 9 Fuchsia	植物凝色唇线笔（色号：9 Fuchsia）
904845	Phyto-Lèvres Perfect Lipliner - 10 Auburn	植物凝色唇线笔（色号：10 Auburn）
904733	Eau du Sisley No.3 Eau de Toilette - Bergamot, Mandarin, Grapefruit and Lemon, 100ml	沁香水 3 号，100ml（香调：佛手柑、柑橘、葡萄柚、柠檬）
