pid	English	Chinese
845458	Embroidered silk eye mask	刺绣真丝眼罩
821670	Embroidered silk queen pillowcase	刺绣真丝大号枕套
845457	Embroidered silk queen pillowcase	刺绣真丝大号枕套
903753	Slip Queen printed silk pillowcase	Slip Queen 印花真丝枕头套
862390	Embroidered silk queen pillowcase	刺绣真丝大号枕套
838164	Embroidered silk eye mask	刺绣真丝眼罩
903754	Slip Queen printed silk eye mask	Slip Queen 印花真丝眼罩
862389	Silk eye mask	真丝眼罩
692267	Silk eye mask	真丝眼罩
692270	Embroidered silk queen pillowcase	刺绣真丝大号枕套
692264	Embroidered silk queen pillowcase	刺绣真丝大号枕套
692266	Silk eye mask	真丝眼罩
692269	Embroidered silk queen pillowcase	刺绣真丝大号枕套
892003	Embroidered silk queen pillowcase	刺绣真丝大号枕套
725862	Silk eye mask	真丝眼罩
692265	Embroidered silk queen pillowcase	刺绣真丝大号枕套
725865	Embroidered silk king pillowcase 	刺绣真丝特大号枕套
725864	Silk eye mask	真丝眼罩
725863	Silk eye mask	真丝眼罩
692268	Embroidered silk king pillowcase	刺绣真丝特大号枕套
786631	Embroidered silk queen pillowcase	刺绣真丝大号枕套
