pid	English	Chinese
913188	Panama Live Love Laugh textured-leather notebook	Panama “Live Love Laugh” 纹理皮革笔记本
585412	Panama Inspirations And Ideas textured-leather notebook	Panama “Inspirations And Ideas” 纹理皮革笔记本
818017	Panama textured-leather wallet 	Panama 纹理皮革钱包
913187	Panama Blah Blah Blah textured-leather notebook	Panama “Blah Blah Blah” 纹理皮革笔记本
803956	Panama Make It Happen textured-leather notebook	Panama Make It Happen 纹理皮革笔记本
818022	Panama Marshall textured-leather travel wallet	Panama Marshall 纹理皮革旅行钱包
818019	Grosvenor textured-leather jewelry box	Grosvenor 纹理皮革首饰盒
818040	Panama textured-leather luggage tag	Panama 纹理皮革行李牌
818026	Panama textured-leather wallet	Panama 纹理皮革钱包
818035	Panama textured-leather cosmetics case 	Panama 纹理皮革化妆包
818033	Panama textured-leather wallet 	Panama 纹理皮革钱包
818039	Premier Oodles Of Doodles textured-leather notebook	Premier Oodles Of Doodles 纹理皮革笔记本
829056	Panama Marshall textured-leather travel wallet	Panama Marshall 纹理皮革旅行钱包
818023	Panama Make it Happen textured-leather notebook 	Panama “Make it Happen” 纹理皮革笔记本
818042	Panama Busy Bee textured-leather notebook	Panama “Busy Bee” 纹理皮革笔记本
731426	Mara Marshall croc-effect glossed-leather travel wallet	Mara Marshall 仿鳄鱼纹亮面皮革大号钱包
731422	Eliot large textured-leather pouch	Eliot 大号纹理皮革小袋
585408	Grosvenor leather jewelry box	Grosvenor 皮革首饰盒
