pid	English	Chinese
884019	SPF30 Mineral Sunscreen Glow, 114ml	SPF30 光泽矿物防晒乳，114ml
884020	Organic Aloe Antioxidant Calming Mist, 94.5ml	有机芦荟抗氧化镇静喷雾，94.5ml
791914	SPF30 Mineral Sunscreen, 94.5ml	SPF30 矿物防晒乳，94.5ml
791913	SPF50 Organic Sheer Sunscreen Mist, 177.4ml	SPF50 有机清透防晒喷雾，177.4ml
493729	Après Soleil Exotic Shimmer Body Oil, 120ml	晒后修复焕亮身体油，120ml
493726	SPF20 Daily Moisturizer For Face, 50ml	日常面部保湿霜，SPF20，50ml
884021	SPF30 Organic Set + Protect Micro Mist, 60ml 	SPF30 有机定妆养护迷你喷雾，60ml
791911	Perpetual Radiance™ Tinted Fluid SPF20, 18ml 	Perpetual Radiance™ 润色抗衰老防晒乳 SPF20, 18ml
493731	SPF30 Mineral Based Sunscreen Mist, 177.4ml	SPF30 矿物基础防晒喷雾，177.4ml
493727	SPF45 Soleil Du Midi Mineral Sunscreen For Face, 50ml	正午骄阳矿物面部防晒霜，SPF45，50ml
493728	SPF30 Mineral Based Sunscreen Lotion For Body, 120ml	矿物身体防晒乳，SPF30，120ml
493730	SPF50 Mineral Based Sunscreen Mist, 177.4ml	矿物防晒喷雾 SPF50，177.4ml
493732	SPF15 Mineral Based Sunscreen Mist, 177.4ml	矿物防晒喷雾，SPF15，177.4ml
493733	SPF45 Mineral Sunscreen Continuous Mist For Children, 177.4ml	儿童专用矿物防晒连续喷雾，SPF45，177.4ml
