pid	English	Chinese
459656	Good Genes Treatment, 30ml	“优良基因”精华乳液，30ml
769771	Tidal Brightening Enzyme Water Cream, 50ml	潮汐亮白酵素水润面霜，50ml
844663	Martian Mattifying Melting Water-Gel Toner, 130ml	火星控油水溶啫喱化妆水，130ml
844664	U.F.O. Ultra-Clarifying Face Oil, 35ml	极致净纯面部精油，35ml
459658	Ceramic Slip Cleanser, 125ml	瓷肌洁面乳，125ml
459657	Juno Hydroactive Cellular Face Oil, 30ml	“朱诺女神”水凝活肤面部护理油，30ml
632248	Flora Hydroactive Cellular Face Oil, 30ml	花神水凝活肤面部护理油，30ml



735052	Blue Moon Tranquility Cleansing Balm, 100ml	蓝月舒缓洁面膏，100ml
521908	Effortless Breathable Tinted Primer - Medium, 30ml	极致透气饰色妆前乳，30ml（色号：Medium）
521909	Effortless Breathable Tinted Primer - Deep, 30ml	极致透气饰色妆前乳，30ml（色号：Deep）
521907	Effortless Breathable Tinted Primer - Light, 30ml	极致透气饰色妆前乳，30ml（色号：Light）


