pid	English	Chinese
939224	Smoky Eye Baton - Canons de Beaute	烟熏妆眼影棒（色号：Canons de Beaute）
939226	Smoky Eye Baton - Partir en Fumee	烟熏妆眼影棒（色号：Partir en Fumee）
939225	Smoky Eye Baton - Etincelle	烟熏妆眼影棒（色号：Etincelle）
615419	Classique Shadow Brush Moyenne	经典中号眼影刷
615417	Artistique Highlight Brush	艺术家高光刷
615416	Artistique Cheek Brush	艺术家腮红刷
579441	Pointilliste Mascara - Noir	点彩睛妆睫毛膏（色号：Noir）
579432	Automatique Lip Crayon - Shocking	神采立现唇笔（色号：Shocking）
615415	Artistique Face Brush	艺术家面部化妆刷
579433	Automatique Lip Crayon - Mahogany	神采立现唇笔（色号：Mahogany）
905280	Artistique Blush - Peau de Peche	艺术家腮红（色号：Angelique）
905281	Artistique Blush - Coupe de Genie	艺术家腮红（色号：Coupe de Genie）
905282	Artistique Blush - Angelique	艺术家腮红（色号：Angelique）
905279	Artistique Blush - Cherubique	艺术家腮红（色号：Cherubique）
579434	Lipslique - Rubis 4	水漾唇膏（色号：4 Rubis）
615482	Automatique Lip Crayon - Fuchsine	神采立现唇笔（色号：Fuchsine）
615418	Classique Shadow Brush Grande	经典大号眼影刷
615483	Automatique Lip Crayon - A La Mode	神采立现唇笔（色号：A La Mode）
579427	Lip Lustre - Teinte 2	晶亮莹润持久唇彩（色号：2 Teinte）
579435	Lipslique - Perfectionniste 12	水漾唇膏（色号：12 Perfectionniste）
615420	Classique Shadow Brush Petite	经典小号眼影刷
677014	Lipslique - Au Courant 18	水漾唇膏（色号：18 Au Courant）
579454	Pret-A-Porter Eye Shadow Palette	迷你彩妆盘（色号：4）
677010	Lipslique - Club 11	水漾唇膏 （色号：11 Club）
677007	Automatique Lip Crayon - Alluring	神采立现唇笔（色号：Alluring）
700414	Prismatique Lips - Froufrou	虹彩晶亮唇膏（色号：Froufrou）
677013	Lipslique - Peccadille 17	水漾唇膏（色号：17 Peccadille）
677004	Lip Lustre - Bon Vivant 3	晶亮莹润持久唇彩（色号：3 Bon Vivant）
700420	Prismatique Lips - Lili Dorée 11	虹彩晶亮唇膏（色号：11 Lili Dorée）
579436	Lipslique - Hevyn 14	水漾唇膏（色号： 14 Hevyn）
677006	Lip Lustre - Charmante 8	晶亮莹润持久唇彩（色号：8 Charmante）
579431	Automatique Lip Crayon - P.O.C.	神采立现唇笔（色号：P.O.C.）
615424	Artistique Smokey Eye Brush Grande	艺术家大号烟熏眼影刷
579428	Lip Lustre - Au Naturelle 10	晶亮莹润持久唇彩（色号：Au Naturelle10）
579426	Lip Lustre - Étoile 1	晶亮莹润持久唇彩（色号：1 Étoile）
615423	Artistique Sculpting Brush	艺术家轮廓刷
615481	Automatique Lip Crayon - Valentine 8	神采立现唇笔（色号：8 Valentine）
615486	Automatique Lip Crayon - Birthday Suit	神采立现唇笔（色号：Birthday Suit）
677015	Smokey Eye Baton - Nuit Dorage 4	烟熏妆眼影棒（色号：4 Nuit Dorage）
677047	Artistique Blush - La Vie en Rose 3	艺术家腮红（色号：3 La Vie en Rose）
579447	Expressioniste Brow Pencil Rechargeable Holder and Refill - Rousse	表现派可填充眉笔筒和替换芯（色号：Rousse）
677029	Artistique Eyeshadow - Doré Rose 6	艺术家眼影（色号：Doré Rose 6）
700411	Prismatique Lips - Lamé 2	虹彩晶亮唇膏（色号：Lamé 2）
579430	Lip Lustre - Trés Chic 13	晶亮莹润持久唇彩（色号：Trés Chic13）
700417	Prismatique Lips - Chichi 8	虹彩晶亮唇膏（色号：8 Chichi）
700406	Prismatique Eyes - Mesmer Eyes	虹彩星耀眼影（色号：Mesmer Eyes）
700421	Prismatique Lips - Café Societe 12	虹彩晶亮唇膏（色号：12 Café Societe） 
677012	Lipslique - Eglantine 15	水漾唇膏 （色号：15 Eglantine）
579429	Lip Lustre - Amethysté 12	晶亮莹润持久唇彩（色号：12 Amethysté）
615426	Artistique Smokey Eye Brush Petite	艺术家小号烟熏眼影刷
615485	Automatique Lip Crayon - In The Flesh	神采立现唇笔（色号：In The Flesh）
579448	Expressioniste Brow Pencil Rechargeable Holder and Refill - Raven	表现派可换芯眉笔管和替换芯（色号：Raven）
579452	Metal Eyes Eye Shadow Palette	迷你彩妆眼影盘（色号：2）
700418	Prismatique Lips - Elitiste 9	虹彩晶亮唇膏（色号：9 Elitiste）
615484	Automatique Lip Crayon - Gentillesse	神采立现唇笔（色号：Gentillesse）
700410	Prismatique Lips - Diamantée 1	虹彩晶亮唇膏（色号：Diamantée 1）
700409	Prismatique Eyes - Style Eyes	虹彩星耀眼影（色号：Mesmer Eyes）
615427	Artistique Concealer Brush Grande	艺术家大号遮瑕刷
700402	Prismatique Eyes - Crystal Eyes	虹彩星耀眼影（色号：Crystal Eyes）
677008	Lipslique - Chuchoter 8	水漾唇膏 （色号：8 Chuchoter）
700413	Prismatique Lips - Paillettes 4	虹彩晶亮唇膏（色号：4 Paillettes）
700403	Prismatique Eyes - Scandal Eyes	虹彩星耀眼影（色号：Scandal Eyes）
677011	Lipslique - Bandy 13	水漾唇膏 （色号：13 Bandy）
579440	Relevée Mascara - Noir		优雅睫毛膏（色号：Noir）
677046	Artistique Blush - Se Pomponner 2	艺术家腮红（色号：2 Se Pomponner）
737893	Surreal Skin Foundation Wand - Shade 3	无懈可击液体粉底棒（色号：3）
700407	Prismatique Eyes - Visual Eyes	虹彩星耀眼影（色号：Visual Eyes）
700405	Prismatique Eyes - Real Eyes	虹彩星耀眼影（色号：Real Eyes）
579438	Smoky Eye Baton - Fumee Brun 2	烟熏妆眼影棒（色号：2 Fumee Brun）
700408	Prismatique Eyes - Glamour Eyes	虹彩星耀眼影（色号：Glamour Eyes）
677005	Lip Lustre - Coquette 6	晶亮莹润持久唇彩（色号：6 Coquette）
677052	Artistique Blush - Ponceau 8	艺术家腮红（色号： 8 Ponceau）
700416	Prismatique Lips - Sang Bleu 7	虹彩晶亮唇膏（色号：Sang Bleu 7）
579449	Diaphane Loose Powder Compact and Refill - 1 Matte	粉盒装光透散粉和替换芯（色号：1 Matte）
677028	Artistique Eyeshadow - Ingénue  5	艺术家眼影（色号：Ingénue 5）
677055	Petite Palette	小号化妆盒
677051	Artistique Blush - Parfait 7	艺术家腮红（色号：7 Parfait）
700423	Prismatique Lips - Jolie Laide 14	虹彩晶亮唇膏（色号：Jolie Laide 14）
677039	Artistique Eyeshadow - Tyrian 18	艺术家眼影（色号：18 Tyrian）
677045	Artistique Blush - Guimauve 1	艺术家腮红（色号：1 Guimauve）
615428	Artistique Concealer Brush Petite 	艺术家小号遮瑕刷
700419	Prismatique Lips - Nouveau Riche 10	虹彩晶亮唇膏（色号：Nouveau Riche 10）
579437	Smokey Eye Baton - Fumee Noir 1	烟熏妆眼影棒（色号：Fumee Noir 1）
737900	Surreal Skin Foundation Wand 10	超幻美肌带刷粉底（色号：10）
677024	Artistique Eyeshadow - Scintillante 1	艺术家眼影（色号：1 Scintillante）
752668	Surreal Skin Foundation Wand 15	超幻美肌带刷粉底（色号：15）
752667	Surreal Skin Foundation Wand 14	超幻美肌带刷粉底（色号：14）
752666	Surreal Skin Foundation Wand 13	超幻美肌带刷粉底（色号：13）
752665	Surreal Skin Foundation Wand 12	超幻美肌带刷粉底（色号：12）
677035	Artistique Eyeshadow - Marron 14	艺术家眼影（色号：14 Marron）
677027	Artistique Eyeshadow - Poudre 4	艺术家眼影（色号：4 Poudre）
677009	Lipslique - Nude Soleil 10	水漾唇膏（色号：10 Nude Soleil）
677038	Artistique Eyeshadow - Fee Dragée 17	艺术家眼影（色号：17 Fee Dragée）
677042	Artistique Eyeshadow - Pantine 21	艺术家眼影（色号：21 Pantine）
677056	Grande Palette	大号化妆盒
677016	Smoky Eye Baton - Vapeur Mauve 5	烟熏妆眼影棒（色号：5 Vapeur Mauve）
677050	Artistique Blush - Cantaloup 6	艺术家腮红（色号：6 Cantaloup）
677037	Artistique Eyeshadow - Minuit 16	艺术家眼影（色号：16 Minuit）
579443	Auto-Graphique Eyeliner - 1 Chat Noir	精准眼线笔（色号：1 Chat Noir）
677036	Artistique Eyeshadow - Envier 15	艺术家眼影（色号：15 Envier）
579446	Expressioniste Brow Pencil Rechargeable Holder and Refill - Brunette	表现派可换芯眉笔管和替换芯（色号：Brunette）
677026	Artistique Eyeshadow - Chamois 3	艺术家眼影（色号：3 Chamois）
677044	Artistique Eyeshadow - Enchanteresse 23	艺术家眼影（色号：23 Enchanteresse）
677031	Artistique Eyeshadow - Ravissante 8	艺术家眼影（色号：8 Ravissante）
579439	Smoky Eye Baton - Cendres 3	烟熏妆眼影棒（色号：3 Cendres）
579445	Expressioniste Brow Pencil Rechargeable Holder and Refill - Blonde	Expressioniste 可更换式眉笔（色号：Blonde）
677025	Artistique Eyeshadow - Soie 2	艺术家眼影（色号：1 Scintillante）
677033	Artistique Eyeshadow - Griége 10	艺术家眼影（色号：10 Griége）
677030	Artistique Eyeshadow - Idéaliste 7	艺术家眼影（色号：7 Idéaliste）
579451	In The Shadows Eye Shadow Palette	奢华眼影盘（色号：1）
737891	Surreal Skin Foundation Wand 1	超幻美肌带刷粉底（色号：1）
737892	Surreal Skin Foundation Wand 2	超幻美肌带刷粉底（色号：2）
737894	Surreal Skin Foundation Wand 4	超幻美肌带刷粉底（色号：4）
737895	Surreal Skin Foundation Wand 5	超幻美肌带刷粉底（色号：5）
737896	Surreal Skin Foundation Wand 6	超幻美肌带刷粉底（色号：6）
737897	Surreal Skin Foundation Wand 7	超幻美肌带刷粉底（色号：7）
737898	Surreal Skin Foundation Wand 8	超幻美肌带刷粉底（色号：8）
737899	Surreal Skin Foundation Wand 9	超幻美肌带刷粉底（色号：9）
752664	Surreal Skin Foundation Wand 11	超幻美肌带刷粉底（色号：11）
700404	Prismatique Eyes - Neutral Eyes	虹彩星耀眼影（色号：Neutral Eyes）
700412	Prismatique Lips - Cultive 3	虹彩晶亮唇膏（色号：3 Cultive）
