pid	English	Chinese
903552	SoftTouch 2 Diffuser	SoftTouch 2 吹风机散风器
903553	SoftTouch Compact Diffuser	SoftTouch Compact 散风嘴
859309	Volumizing Hot Rollers Luxe	蓬松烫发卷筒奢华套装
665403	Tousled Waves Interchangeable Styling Barrel	蓬松波浪可换式卷发棒
552981	AntiGravity 2 Ceramic Brush	AntiGravity 2 陶瓷发刷
665407	Undone Waves 1-Inch Straight Barrel	自然波浪卷发棒（直径：1 英寸）
723306	SinglePass Compact Straightening and Styling Iron - US 2-pin plug	SinglePass Compact 小号热造型直发器(美国标准两脚插头)
665404	Defined Curls 1-Inch Barrel	立体波浪卷发棒（直径：1 英寸）
665405	Polished Curls 1.25-Inch Barrel	亮泽卷发棒（直径：1.25 英寸）
552980	AntiGravity 3 Ceramic Brush	AntiGravity 3 陶瓷发刷
665402	Twirl Convertible Styling Wand - US 2-pin plug	带夹造型卷发棒底座 - 美国标准两脚插头
723308	PROi Dryer - US 2-pin plug	PROi 吹风机（美国标准两脚插头）
723307	Featherweight Compact Folding Dryer - US 2-pin plug	轻巧折叠吹风机（美国标准两脚插头）
665400	SinglePass Luxe Straightening and Styling Iron - US 2-pin plug	SinglePass Luxe 拉直、造型二合一烫发器 - 美国标准两脚插头
532983	Whirl Trio Interchangeable Tourmaline Styling Wand set - US 2-pin plug	三合一可换卷筒电气石卷发棒套装（美国标准两脚插头）
665406	Loose Waves 1.5-Inch Straight Barrel	大波浪卷发棒（直径：1.5 英寸）
350094	Featherweight 2 Dryer - US 2-pin plug	Featherweight 2 吹风机（美国标准两脚插头）
665401	Whirl Convertible Styling Wand - US 2-pin plug	造型卷发棒底座 - 美国标准两脚插头
433472	BodyWaver curling iron - US 2-pin plug	BodyWaver 卷发棒（美国标准双脚插头）
