pid	English	Chinese
839121	Clarifying Spot Solution, 10ml	粉刺净肤乳，10ml
839120	The Multi-Masking Collection	多效面膜套装
839119	Honey Blossom Mask, 30ml	花蜜焕肤面膜，30ml
338204	Resurfacing Mask, 30ml	焕肤面膜，30ml
560188	Be True Lip Treatment	真我护唇膏
839118	Clarifying Moisturizer, 50ml	净化润肤乳，50ml
560186	Purifying Cleanser, 125ml	净化洁面乳，125ml
614862	Concentrated Brightening Serum, 30ml	极致亮颜精华液，30ml
560190	Daily Essentials Set	日常护肤明星套装
719508	Volumizing Lip and Cheek Tint - Very Popular	唇部脸颊丰盈蜜彩 （色号：Very Popular）
614864	Volumizing Lip and Cheek Tint - Very Charming	唇部脸颊丰盈蜜彩 （色号：Very Charming）
560185	Nourishing Oil Cleanser, 125ml	滋养洁面油，125ml
614860	Smoothing Body Scrub, 150ml	舒缓身体磨砂膏，150ml
745327	Concentrated Brightening Essence, 100ml 	极致亮颜导入精华，100ml
338199	Restorative Eye Crème, 15ml	修复眼霜，15ml
560189	Be Adored Lip Treatment	魅惑护唇膏
745326	Soothing Muscle Gel, 50ml	舒缓肌肉啫喱，50ml
719507	Very Illuminating, 5.5g	亮肌保湿面霜，5.5g
392648	Rejuvenating Serum, 50ml	再生精华素，50ml
605000	Moisturizing Mask, 50ml	滋润面膜，50ml
667509	Rejuvenating Hand Cream, 50ml	再生护手霜，50ml
462825	Replenishing Nutrient Complex, 10ml	补水滋养复合面部护理油，10ml
614861	Redefining Body Balm, 150ml	焕活身体乳霜，150ml
719506	Very Bronzing, 4.5ml	修容古铜膏，4.5ml
338202	Repairative Moisturizer, 50ml	修复乳液，50ml
338203	Revitalizing Body Oil, 125ml	活肤身体油，125ml
524878	Elixir Vitae Serum, 30ml	祛皱抗衰老精华，30ml
338197	Regenerating Cleanser, 125ml	焕肤洁面乳，125ml
614865	Volumizing Lip & Cheek Tint - Very Vivacious	唇部脸颊丰盈蜜彩 （色号：Very Vivacious）
560187	Boosted Contouring Serum, 30ml	胶原轮廓紧致精华液，30ml
338198	Large Refreshing Cleanser, 125ml	大号清爽洁面乳，125ml
338200	Hydrating Floral Essence Moisturising Toner, 125ml	莹润保湿花卉精华柔肤喷雾，125ml
667510	Boosted Contouring Eye Mask, 15ml	胶原轮廓紧致眼膜，15ml
745325	Purifying Mask, 30ml	净化面膜，30ml
614863	Volumizing Lip & Cheek Tint - Very Sweet	唇部脸颊丰盈蜜彩 （色号：Very Sweet）
581170	Volumizing Lip & Cheek Tint - Very Nice	丰盈唇颊两用霜（色号：Very Nice）
