pid	English	Chinese
621682	Makeup airbrush device	空气喷枪
621717	Color True Lipstick - Imperial Red	至臻本色唇膏（色号：Imperial Red）
755745	airpod™ Airbrush 24-Hour Root Touch Up & Hair Color - Golden Blonde	airpod™ 空气喷枪 24 小时发根专用补色液（色号：Golden Blonde）
755747	airpod™ Airbrush 24-Hour Root Touch Up & Hair Color -  Light Brown	airpod™ 空气喷枪 24 小时发根专用补色液（色号：Light Brown）
755748	airpod™ Airbrush 24-Hour Root Touch Up & Hair Color - Medium Brown	airpod™ 空气喷枪 24 小时发根专用补色液（色号：Medium Brown）
621714	Color True Lipstick - Pink Hype	至臻本色唇膏（色号：Pink Hype）
755744	airpod™ Airbrush 24-Hour Root Touch Up & Hair Color - Platinum Blonde	airpod™ 空气喷枪 24 小时发根专用补色液（色号：Platinum Blonde）
621693	airpod™ Blush - Pale Pink 401, 8.2ml	airpod™ 空气喷枪专用腮红，8.2ml (色号：Pale Pink 401）
621715	Color True Lipstick - Coral Blaze	至臻本色唇膏（色号：Coral Blaze）
621695	airpod™ Blush - Sheer Berry 404, 8.2ml	airpod™ 空气喷枪专用腮红，8.2ml（色号：Sheer Berry 404）

621710	Color True Lipstick - Rose Velveteen	至臻本色唇膏（色号：Rose Velveteen）
621701	airpod™ Highlighter - Sunset Glow 306, 8.2ml	airpod™ 空气喷枪专用高光粉，8.2ml（色号：Sunset Glow 306）
621718	Color True Lip Gloss, 8ml	至臻本色唇蜜，8ml
621712	Color True Lipstick - Plush Plum	至臻本色唇膏（色号：Plush Plum）
621699	airpod™ Highlighter - Gold 302, 8.2ml	airpod™ 空气喷枪专用高光粉，8.2ml（色号：Gold 302）
621711	Color True Lipstick - Blushed Suede	至臻本色唇膏（色号：Blushed Suede）
755749	airpod™ Airbrush 24-Hour Root Touch Up & Hair Color - Dark Brown	airpod™ 空气喷枪 24 小时发根专用补色液（色号：Dark Brown）
621716	Color True Lipstick - Violet Storm	至臻本色唇膏（色号：Violet Storm）
621696	airpod™ Blush - Peony Pink 407, 8.2ml	airpod™ 空气喷枪专用腮红，8.2ml (色号：Peony Pink 407）
621697	airpod™ Blush - Nude Pink 409, 8.2ml	airpod™ 空气喷枪专用腮红，8.2ml（色号：Nude Pink 409）

621700	airpod™ Highlighter - Pink Pearl 305, 8.2ml	airpod™ 空气喷枪专用高光粉，8.2ml（色号：Pink Pearl 305）
755750	airpod™ Airbrush 24-Hour Root Touch Up & Hair Color - Brown/Black	airpod™ 空气喷枪 24 小时发根专用补色液（色号：Brown/Black）
621694	airpod™ Blush - Soft Peach 402, 8.2ml	airpod™ 空气喷枪专用腮红，8.2ml（色号：Soft Peach 402）

621713	Color True Lipstick - Jet Rouge	至臻本色唇膏（色号：Jet Rouge）
755746	airpod™ Airbrush 24-Hour Root Touch Up & Hair Color - Auburn	airpod™ 空气喷枪 24 小时发根专用补色液（色号：Auburn）
621704	Undereye Concealer - Porcelain 102	眼底遮瑕膏（色号：Porcelain 102）
855629	Air Glowing Complexion Kit	亮颜空气喷枪套装
621707	Undereye Concealer - Medium 108	眼底遮瑕膏（色号：Medium 108）
621705	Undereye Concealer - Fair 104	眼底遮瑕膏（色号：Fair 104）
621691	airpod™ Foundation - Golden 009, 12ml	airpod™ 空气喷枪专用粉底液（色号：Golden 009），12ml
621706	Undereye Concealer - Light 106	眼底遮瑕膏（色号：Light 106）
621709	Undereye Concealer - Tan 112	眼底遮瑕膏（色号：Tan 112）
621684	airpod™ Foundation - Ivory 002, 12ml	airpod™ 空气喷枪专用粉底液，12ml（色号：Ivory 002）
621703	airpod™ Bronzer - Warm Glow, 8.2ml	airpod™ 空气喷枪专用修容液，8.2ml（色号：Warm Glow）
621698	airpod™ Highlighter - Champagne 301, 8.2ml	airpod™ 空气喷枪专用高光粉，8.2ml（色号：Champagne 301）
621690	airpod™ Foundation - Honey 008, 12ml	airpod™ 空气喷枪专用粉底液，12ml（色号：Honey 008）
621688	airpod™ Foundation - Warm Beige 006, 12ml	airpod™ 空气喷枪专用粉底液（色号：Warm Beige 006），12ml
621683	airpod™ Foundation - Porcelain 001, 12ml	airpod™ 空气喷枪专用粉底液（色号：Porcelain 001），12ml
621685	airpod™ Foundation - Warm Ivory 003, 12ml	airpod™ 空气喷枪专用粉底液，12ml（色号：Warm Ivory 003）
621689	airpod™ Foundation - Natural 007, 12ml	airpod™ 空气喷枪专用粉底液，12ml（色号：Natural 007）
621708	Undereye Concealer - Natural 110	眼底遮瑕膏（色号：Natural 110）
621686	airpod™ Foundation - Sand 004, 12ml	airpod™ 空气喷枪专用粉底液（色号：Sand 004），12ml
621687	airpod™ Foundation - Beige 005, 12ml	airpod™ 空气喷枪专用粉底液，12ml（色号：Beige 005）
