pid	English	Chinese
907761	Nail Polish - Park	指甲油（色号：Park）
907760	Nail Polish - Madison	指甲油（色号：Madison）
907759	Nail Polish - Lexington	指甲油（色号：Lexington）
859310	The Rose Oil	玫瑰甲缘油
917958	Nail Polish - LA	指甲油（色号：LA）
857844	Nail Polish - Church 003	指甲油（色号：003 Church ）
832314	Nail Polish - Broad 041	指甲油（色号：Broad 041）
781215	Nail Polish - Mulberry 013	指甲油（色号：013 Mulberry）
832315	Nail Polish - Beekman 042	指甲油（色号：Beekman 042）
832313	Nail Polish - Cliff 040	指甲油（色号：040 Cliff)
857845	Nail Polish - Carmine 002	指甲油（色号：002 Carmine）
781221	Nail Polish - Murray 035	指甲油（色号：035 Murray）
781211	The Shield Top Coat	防护表层油
781210	The Foundation Base Coat	指甲底层油
781214	Nail Polish - Ludlow 015	指甲油（色号：Ludlow 015）
781217	Nail Polish - Prince 024	指甲油（色号： 024 Prince）
781220	Nail Polish - Jane 001	指甲油（色号：Jane 001）
781216	Nail Polish - Elizabeth 008	指甲油（色号：008 Elizabeth）
781218	Nail Polish - Watts 037	指甲油（色号：037 Watts）
822307	Non-Acetone Polish Remover + Finishing Hand Cleanser Cloths	无丙酮卸甲棉+手部洁肤棉套装
781212	Nail Polish - Spring 023	指甲油（色号：023 Spring）
781224	Nail Polish - Austin 032	指甲油（色号：Austin 032） 
781213	Nail Polish - Delancey 016	指甲油（色号：Delancey 016）
781223	Nail Polish - Rivington 017	指甲油（色号：017 Rivington） 
781219	Nail Polish - Chrystie 039	指甲油（色号：039 Chrystie）
