pid	English	Chinese
955474	Perfect Legs Skin Protector SPF30, 100ml	完美腿部肌肤防护液 SPF30，100ml
955475	Perfect Legs for Everybody Set 	无瑕美腿套装
955472	Perfect Body Muscle Therapy, 50ml	完美身体肌肉护理油，50ml
955473	Perfect Cleavage Firming Lotion, 60ml 	完美胸部紧实乳液，60ml
414942	Deep Sleep Pillow Spray, 75ml	深度助眠枕头喷雾，75ml
907520	Stress Check Face Mask, 50ml	舒压面膜，50ml
907522	Stress Check Hair Elixir, 80ml	舒压护发喷雾，80ml
907521	Stress Check Face Oil, 30ml	舒压护肤油，30ml
777320	Perfect Legs Sculpt & Shine, 60ml	无瑕美腿修饰光泽乳，60ml
673938	Light Time Skin Plumper, 30ml	醒肤时光丰盈精华面霜，30ml
907523	Stress Check Breathe In, 8ml	舒压滚珠式香氛油，8ml
868932	Light Time Starter Kit	醒肤时光入门套装
605410	Energy Bank Hand Makeover, 75ml	能量奇迹手部焕肤霜，75ml
414941	Perfect Legs Skin Miracle, 120ml	无瑕美腿奇迹精华液，120ml
589932	In Transit Balancing Body Lotion, 300ml	旅行平衡润肤乳，300ml
589931	In Transit Reviving Shower Gel, 300ml	旅行赋活沐浴露，300ml
673937	Light Time Open Eyes, 15ml	Light Time 焕活眼霜，15ml
832301	The Big Sleep Set	美梦安眠套装
528814	In Transit No Traces - 60 pads	旅行洁面棉（60 片装）
634486	+ Holly Fulton Skin Deep Dry Leg Oil, 120ml	Holly Fulton 腿部肌肤深层滋润油，120ml
605411	Energy Bank Body Makeover, 120ml	能量奇迹身体乳液, 120ml
755384	Sleep Plus Dream Body, 75ml	保湿助眠双效身体乳，75ml
657158	Energy Bank Bath Oil, 100ml	能量奇迹沐浴精油，100ml
605412	Energy Bank Shower Gel, 250ml	能量奇迹沐浴露，250 ml
605409	Energy Bank Sunflash, 30ml	能量奇迹润色仿晒霜，30ml
414940	Skin Deep Dry Leg Oil, 120ml	腿部肌肤深层滋润油，120ml
530280	Sleep Plus Pillow Spray, 75ml	助眠枕头喷雾，75ml
589925	No Wrinkles Active Serum, 30ml	抗皱活肤精华，30ml
589926	No Wrinkles Midnight Moisture, 48ml	抗皱午夜润肤霜，48ml
673936	Light Time Cleanse & Glow, 75ml	Light Time 亮肤洁面乳，75ml
755386	Energy Bank Skin Glow, 30ml	能量奇迹亮肤精华，30ml
755385	Sleep Plus Hair Elixir, 80ml	助眠护发喷雾，80ml
460270	Deep Sleep Bath Oil, 100ml	深度助眠沐浴精油，100ml
528815	In Transit Muscle Therapy, 50ml	途中肌肉护理精油，50ml
755383	Sleep Plus Trouble Shooter, 120ml 	保湿助眠双效安神喷雾，120ml
430292	In Transit Camera Close Up, 40ml	“镜头零死角”多效美肤霜，40ml
528817	Perfect Heels Rescue Balm, 75ml	完美足跟修护霜，75ml
589930	Perfect Legs Gradual Tan, 120ml	无瑕美腿渐进助晒霜，120ml
589924	No Wrinkles Eye Repair, 15ml	抗皱眼部修护精华，15ml
589929	Natural Actives Kit	天然活肤套装
430293	No Wrinkles Extreme Moisturizer, 48ml	抗皱极润保湿霜，48ml
528816	Perfect Look Skin Miracle, 30ml	完美妆容肌肤奇迹润色霜，30ml
477162	Perfect Cleavage Firming Lotion, 60ml	完美胸部紧实乳液，60ml
530424	Deep Sleep Body Therapy, 100ml	深度助眠身体喷雾，100ml
528813	In Transit Skin Defence SPF30, 40ml 	旅行润肤防护霜，SPF30，40ml
484802	Skin Deep Golden Elixir, 120ml	肌肤深层滋润黄金精华乳，120ml
440488	Deep Sleep Night Oil, 120ml	深度助眠身体油，120ml
673896	I Have A Dream Set	深度助眠套装
440490	No Wrinkles Wonder Essence, 60ml	奇迹抗皱精华液，60ml
430295	No Wrinkles Night Repair, 30ml	抗皱晚间修护精华，30ml
431440	No Wrinkles Tired Eyes, 15ml	抗皱解乏眼部精华，15ml
454683	No Wrinkles Time Dose Mask, 75ml	三用抗皱面膜，75ml
440489	Deep Sleep Shower Gel, 250ml	深度助眠沐浴露，250ml
673895	With Sleep Comes Beauty Set	睡眠美颜旅行套装
589928	Clean Skin 5-in-1 Water, 200ml	五合一洁净卸妆水，200ml
484803	In Transit Spray On Moisture, 100ml	旅行保湿喷雾，100ml
