pid	English	Chinese
660328	Under Milk Wood scented candle, 190g	Under Milk Wood 香薰蜡烛，190g
660325	Iridium Body Lotion, 250ml	身体乳，250ml（香型：Iridium)
878816	White Narcissus scented candle, 190g	白水仙香薰蜡烛，190g
660326	Crushing Bloom Body Lotion, 250ml	身体乳，250ml（香型：Crushing Bloom)
660327	Sous Les Glycines scented candle, 190g	Sous Les Glycines 香薰蜡烛，190g
660318	Iridium Eau de Parfum - Iris & Cedarwood, 50ml	Iridium 香水，50ml（香调：鸢尾花 & 雪松）
660322	Crushing Bloom Eau de Parfum - Rose & Spices, 50ml	Crushing Bloom 香水，50ml（香调：玫瑰、辛香料）
660319	Salvia Sclarea Eau de Parfum - Clary Sage & Green Leaf, 50ml	Salvia Sclarea 香水，50ml（香调：快乐鼠尾草 & 绿叶）
660321	VSOP Eau de Parfum - Cognac & Citrus, 50ml	VSOP 香水，50ml（香调：干邑白兰地、柑橘）
660329	Fragrance Collection 	香水套装
762230	Magnolia Heights Eau de Parfum, 50ml 	Magnolia Heights 香水，50ml
660323	Iridium Shower Gel, 250ml	Iridium 沐浴露，250ml
660320	Eau de Parfum - Sicilian Wood, 50ml	Sicilian Wood 香水，50ml
660324	Crushing Bloom Shower Gel, 250ml	沐浴液，250ml（香型：Crushing Bloom）
