pid	English	Chinese
911413	Cream and Powder Eye Color - Young Adonis	双层霜粉眼影（色号：Young Adonis）
911415	Skin Illuminator - Fire Lust	高光亮肤乳，20ml（色号：Fire Lust）
934765	Cream and Powder Eye Color - Paradiso	眼影膏眼影粉套装（色号：Paradiso）
911414	Cream and Powder Eye Color - Sun Worship	双层霜粉眼影（色号：Sun Worship）
934764	Moisturecore Lip Color - Paradiso	夹心水润唇膏（色号：Paradiso）
911405	Sheer Highlighting Duo  - Reflects Gilt	泽透双色高光盘（色号：Reflects Gilt）
917671	Fleur de Portofino All Over Body Spray - Calabrian Bergamot, Sicilian Lemon & Tangerine, 150ml	Fleur de Portofino 身体喷雾，150ml（香调：卡拉布里亚佛手柑、西西里柠檬和柑橘）
911410	Clutch-Size Lip Balm - Fathom	掌中艳阳唇膏（色号：Fathom）
934766	Cream Cheek Color - Paradiso	柔润腮红膏（色号：Paradiso）
917670	Costa Azzurra All Over Body Spray - Cypress Oil, Juniper and Vanilla, 150ml	Costa Azzurra 身体喷雾，150ml（香调：丝柏精油、杜松子、香草）
917669	Mandarino Di Amalfi All Over Body Spray - Mandarin Oil & Lemon, 150ml	Mandarino Di Amalfi 全身喷雾，150ml（香调：柑橘油、柠檬）
934763	Sole di Positano Eau de Parfum -  Lemon Petitgrain, Petitgrain Bigarade & Shiso Leaf,  50ml 	Sole di Positano 香水，50ml（香调：柠檬叶、苦橙叶 & 紫苏叶） 
917668	Fleur de Portofino Eau de Parfum - Calabrian Bergamot, Sicilian Lemon & Tangerine, 100ml	Fleur de Portofino 香水，100ml（香调：卡拉布里亚佛手柑、西西里柠檬和柑橘）
911416	Soliel Bronzing Brush	艳阳之吻古铜粉刷
917666	Mandarino Di Amalfi Eau de Parfum - Mandarin Oil & Lemon, 100ml	Mandarino Di Amalfi 香水，100ml（香调：柑橘油、柠檬）
917665	Mandarino di Amalfi Acqua Eau de Toilette, 50ml	Mandarino di Amalfi Acqua 淡香水，50ml
917667	Costa Azzurra Eau de Parfum - Cypress Oil, Driftwood Accord & Fucus Algae Oil, 100ml	Costa Azzurra 香水，100ml（香调：丝柏精油、漂流木、墨角藻油）
911404	Sheer Cheek Duo  - Paradise Lust	泽透双色颊彩盘（色号：Paradise Lust）
911406	Bronzing Gel, 75ml	古铜凝胶，75ml
911412	Clutch-Size Lip Balm - La Piscine	掌中艳阳唇膏（色号：La Piscine）
911411	Clutch-Size Lip Balm - Pure Shores	掌中艳阳唇膏（色号：Pure Shores）
911403	Soleil Contouring Compact - Soleil Afterglow	阳光修容彩妆盘（色号：Soleil Afterglow）
901298	Shade & Illuminate Cheek -  Scintillate 	高光修容盘（色号：Scintillate ）
901301	Shade & Illuminate Lips – Posession	光影唇膏盘（色号：Posession）
911409	Clutch-Size Lip Balm - Cruising 	掌中艳阳唇膏（色号：Cruising）
901299	Shade & Illuminate Cheek - Sublimate 	高光修容盘（色号：Sublimate ）
832453	Lips & Boys - Ben 29	以爱之名唇膏（色号：29 Ben）
901300	Shade & Illuminate Lips – Automatic	光影唇彩盘（色号：Automatic）
911408	Clutch-Size Lip Balm - Neotropic	迷你润唇膏（色号：Neotropic）
832435	Lips & Boys - Aaron	以爱之名唇膏（色号：Aaron）
832445	Lips & Boys - Anderson 03	以爱之名唇膏（色号：03 Anderson）
911402	Bronzing Powder - Bronze Age	修容粉饼（色号：Bronze Age）
901313	Nail Polish - Mink Brule	指甲油（色号：Mink Brule）
901311	Cheek Color - Gratuitious	腮红（色号：Gratuitious）
901305	Cheek Color - Frantic Pink	腮紅（色号：Frantic Pink）
901324	Nail Polish - Black Sugar 	指甲油（色号：Black Sugar）
901310	Cheek Color - Inhibition	腮红（色号：Inhibition）
832426	Lip Contour Duo - Secret Escort 07	二合一唇妆笔（色号：07 Secret Escort）
901302	Shade & Illuminate Lips – Tantalize	光影唇膏盘（色号：Tantalize）
911400	Bronzing Powder - Gold Dust	修容粉饼（色号：Gold Dust）
901316	Nail Polish - Indian Pink	指甲油（色号：Indian Pink）
901325	Nail Polish - Show Me The Pink 	指甲油（色号：Show Me The Pink）
901319	Nail Polish - Viper 	指甲油（色号：Viper）
901312	Cheek Color - Disclosure	腮红（色号：Disclosure）
901315	Nail Polish - Pink Crush	指甲油（色号：Pink Crush）
911401	Bronzing Powder - Terra	修容粉饼（色号：Terra）
901318	Nail Polish - Plum Noir 	指甲油（色号：Plum Noir）
901304	Shade & Illuminate Lips – Saboteur	光影唇膏盘（色号：Saboteur）
901314	Nail Polish - Bitter	指甲油（色号：Bitter）
901320	Nail Polish - Carnal Red 	指甲油（色号：Carnal Red）
901326	Nail Polish - Black Cherry	指甲油（色号：Black Cherry）
901317	Nail Polish - African Violet 	指甲油（色号：African Violet）
901321	Nail Polish - Scarlet Chinois	指甲油（色号：Scarlet Chinois）
832452	Lips & Boys - Nicholas 28	以爱之名唇膏（色号：28 Nicholas）
901322	Nail Polish - Smoke Red	指甲油（色号：Smoke Red）
901323	Nail Polish - Bordeaux Lust	指甲油（色号：Bordeaux Lust）
832423	Lip Contour Duo - Fling It On 02	二合一唇妆笔（色号：02 Fling It On）
832424	Lip Contour Duo - Devil Inside 06	二合一唇妆笔（色号：06 Devil Inside）
832434	Lips & Boys - Snowden	以爱之名唇膏（色号：Snowden）
832425	Lip Contour Duo - Public Display 01	二合一唇妆笔（色号：01 Public Display）
901306	Cheek Color - Love Lust	腮红（色号：Love Lust）
901307	Cheek Color -  Flush	腮红（色号：Flush）
901309	Cheek Color - Ravish	腮红（色号：Ravish）
832428	Lip Contour Duo - Show It Off 04	二合一唇妆笔（色号：04 Show It Off）
759876	Lip Color Sheer - Sweet Spot	莹透唇膏（色号：Sweet Spot）
832442	Lips & Boys - Logan 94	以爱之名唇膏（色号：94 Logan）
832454	Lips & Boys - Christopher 30	以爱之名唇膏（色号：30 Christopher）
901327	Nail Polish - Sugar Dune 	指甲油（色号：Sugar Dune）
832422	Lip Contour Duo - I'll Teach You 05	二合一唇妆笔（色号：05 I'll Teach You）
911407	Clutch-Size Lip Balm - L'Odissea	掌中艳阳唇膏（色号：L'Odissea）
901308	Cheek Color - Wicked	腮红（色号：Wicked）
832446	Lips & Boys - Thomas 04	以爱之名唇膏（色号：04 Thomas）
832440	Lips & Boys - Ashton 92	以爱之名唇膏（色号：Ashton 92）
832448	Lips & Boys - Cristiano 06	以爱之名唇膏（色号：06 Cristiano）
832429	Lip Contour Duo - Make Me 08	二合一唇妆笔（色号：08 Make Me）
686885	Lips & Boys - Tony 72	以爱之名唇膏（色号：72 Tony）
832441	Lips & Boys - Mitchell	以爱之名唇膏（色号：Mitchell）
