pid	English	Chinese
869410	Lip Serum 8, 15ml	唇部精华 8，15ml
869411	Hand Serum 10, 30ml	手部精华 10，30ml
555520	Foaming Cleanser 1, 90ml	1 号泡沫洁面乳，90ml
762262	Travel Series	面部保养旅行套装
555521	Day Cream 2, 50ml	2 号日霜，50ml
762260	Intense Facial Mask,  4 x 25g	密集修护面膜，4 x 25g
762259	Reviving Eye Mask, 4 x 3g	新生焕采眼膜（3g x 4 片）
411109	Super Facial Serum 4, 30ml	4 号超能面部精华，30ml
555522	Night Cream 3, 50ml	3 号晚霜，50ml
555523	Dark Spot Fix 6, 15ml	6 号祛斑霜，15ml
607390	Super Facial Oil 7 Set - 4 x 7.5ml	7 号超能面部精油套装，4 x 7.5ml
411110	Super Eye Serum 5, 30ml	5 号超能眼部精华，30ml
