pid	English	Chinese
585376	Volupté Tint-In-Oil - Cherry My Cherie 5	油彩晶亮唇蜜（色号：5 Cherry My Cherie）
913049	Rouge Volupté Shine Lipstick - Rose Saint Germaine 49	莹亮纯魅唇膏（色号：Rose Saint Germaine 49）
913034	 Top Secrets Natural Action Exfoliator	超模绝密天然去角质霜
913048	Rouge Volupté Shine Lipstick - Rouge Spencer 57	莹亮纯魅唇膏（色号：Rouge Spencer 57）
913038	The Shock Volumizing Mascara - Underground Blue	绒密惊艳睫毛膏（色号：Underground Blue）
913039	Vinyl Cream Lip Stain - Rouge Vinyle 401	黑管唇釉（色号：Rouge Vinyle 401）
913041	Vinyl Cream Liquid Lipstick - Explicit Pink 405	黑管唇釉（色号：Explicit Pink 405）
913037	The Shock Volumizing Mascara - Burgundy	绒密惊艳睫毛膏（色号：Burgundy）
913047	The Street and I Couture Palette Collector - Keep An Eye On Me	都市丽人眼影盘（色号：Keep An Eye On Me）
913040	Vinyl Cream Lip Stain - Nude Pulse 404	黑管唇釉（色号：Nude Pulse 404）
913043	Eye Gloss Smudger	光感啫喱眼影
913045	La Laque Couture Nail Lacquer - Blanc Arty 80	高级定制指甲油（色号：Blanc Arty 80）
585374	Volupté Tint-In-Oil - Undress Me 3	油彩晶亮唇蜜（色号：3 Undress Me）
663187	Les Sahariennes Healthy Glow Balm-Powder - Abricot 1	撒哈拉之吻健康亮采古铜粉（色号：1 Abricot）
913036	The Shock Volumizing Mascara - Black	绒密惊艳睫毛膏（色号：Black）
585395	Couture Variation Eye Shadow Palette – Tuxedo	拼接时尚十色眼影盘（色号：Tuxedo）
663196	Powder Brush	蜜粉刷
663195	Polishing Brush	化妆刷
585399	Couture Mono Eyeshadow - 5  Modele	“高级定制”单色眼影（色号：5 Modele）
663167	Rouge Pur Couture Lip Lacquer Glossy Stain - Dew Red 201	奢华缎面纯色唇釉（色号：201 Dew Red）
663171	Rouge Pur Couture Lip Lacquer Glossy Stain - Pink Rain 205	奢华缎面纯色唇釉（色号：205 Pink Rain）
663172	Rouge Pur Couture Lip Lacquer Glossy Stain - Misty Pink 206	奢华缎面纯色唇釉（色号：Misty Pink 206）
663197	Blush Brush	腮红刷
487115	Rouge Pur Couture Lip Lacquer Glossy Stain - Encre Rose 17	奢华缎面纯色唇釉（色号：17 Encre Rose）
663169	Rouge Pur Couture Lip Lacquer Glossy Stain - Eau De Corail 203	奢华缎面纯色唇釉（色号：203 Eau De Corail）
663188	Les Sahariennes Bronzing Powder - Sable 2	撒哈拉之吻古铜粉（色号：2 Sable）
663173	Rouge Pur Couture Lip Lacquer Glossy Stain - Juicy Peach 207	奢华缎面纯色唇釉（色号：207 Juicy Peach ）
585406	Contour Eye Primer - Medium	“高级定制”眼部打底霜（色号：Medium）
663168	Rouge Pur Couture Lip Lacquer Glossy Stain - Rouge Splash 202	奢华缎面纯色唇釉（色号：202 Rouge Splash）
585402	Couture Mono Eyeshadow - 12 Fastes	“高级定制”单色眼影（色号：12 Fastes）
585404	Couture Mono Eyeshadow - 15 Frasque	“高级定制”单色眼影（色号：15 Frasque）
663189	Les Sahariennes Healthy Glow Balm-Powder - Épice 3	撒哈拉之吻健康亮采粉饼（色号：Épice 3）
663198	Eyeshadow Brush  	眼影刷
585398	Couture Mono Eyeshadow - 3 Marceau	“高级定制”单色眼影（色号：3 Marceau）
663170	Rouge Pure Couture Glossy Stain Pop Water - Onde Rose 204	水吻镜光唇釉（色号：Onde Rose 204）
511815	Baby Doll Kiss & Blush - 04 Orange Fougueux	洋娃娃唇颊蜜（色号：04 Orange Fougueux）
487260	Baby Doll Kiss & Blush - 3 Rose Libre	洋娃娃唇颊蜜（色号：3 Rose Libre）
663182	Poudre Compacte Radiance - Pink Beige 4	纯净柔亮蜜粉饼（色号：Pink Beige 4）
663175	Full Metal Shadow - Taupe Drop 3	惊艳魅惑金属感眼影（色号：3 Taupe Drop）
487263	Baby Doll Kiss & Blush - 9 Rose Épicurien	洋娃娃唇颊蜜（色号：9 Rose Épicurien）
618369	Volupté Tint-In-Oil - Peach Me Love 6	油彩晶亮唇蜜（色号：6 Peach Me Love）
487261	Baby Doll Kiss & Blush - 5 Rouge Efrontéef	洋娃娃唇颊蜜（色号：5 Rouge Efrontee）
585401	Couture Mono Eyeshadow - 10 Khol	“高级定制”单色眼影（色号：10 Khol）
585377	Volupté Tint-In-Oil - Pink About Me 8	油彩晶亮唇蜜（色号：8 Pink About Me）
612908	Blush Volupté Heart of Light Powder Blush - Singuliere 1	双效幻彩胭脂（色号：1 Singuliere）
663180	Poudre Compacte Radiance - Pink Sand 2	纯净柔亮蜜粉饼（色号：Pink Sand 2）
487094	Rouge Volupté Shine Lipstick - Pink In Devotion 6	情挑诱光水唇膏（色号：6 Pink In Devotion）
487114	Rouge Pur Couture Lip Lacquer Glossy Stain - Rose Vinyl 15	奢华缎面纯色唇釉（色号：15 Rose Vinyl）
585400	Couture Mono Eyeshadow - 8 Zellige	“高级定制”单色眼影（色号：8 Zellige）
585375	Volupté Tint-In-Oil - 4 I Rose You	油彩晶亮唇蜜（色号：4 I Rose You）
487093	Rouge Volupté Shine Lipstick - Fuchsia In Excess 5	情挑诱光水唇膏（色号：5 Fuchsia In Excess）
663186	Souffle D'Éclat Sheer & Radiant Loose Powder - 4	明彩丝雾散粉（色号：4）
663166	Rouge Pur Couture Lip Lacquer Glossy Stain - Rose Nu 200	奢华缎面纯色唇釉（色号：200 Rose Nu）
585396	Couture Mono Eyeshadow - 1 Paris	“高级定制”单色眼影（色号：1 Paris）
487108	Rouge Pur Couture Lip Lacquer Glossy Stain - Fuchsia Dore 14	奢华缎面纯色唇釉（色号：14 Fuchsia Dore）
487111	Rouge Pur Couture Lip Lacquer Glossy Stain - Orange de Chine 8	奢华缎面纯色唇釉（色号：8 Orange de Chine）
663184	Souffle D'Éclat Sheer & Radiant Loose Powder - 2	明彩丝雾散粉（色号：2）
673384	La Laque Couture Nail Lacquer - Carmin D'Or 68	指甲油（色号：68 Carmin D'Or ）
663181	Poudre Compacte Radiance - Beige 3	纯净柔亮蜜粉饼（色号：Beige 3）
612913	Blush Volupté Heart of Light Powder Blush - Baby Doll 4	双效幻彩胭脂（色号：4 Baby Doll）
663193	La Laque Couture Nail Lacquer - Fuchsia Rain 64	指甲油（色号：64 Fuchsia Rain）
673383	La Laque Couture Nail Lacquer - Rouge D'Or 67	指甲油（色号：67 Rouge D'Or） 
487126	Couture Palette Eyeshadow - 8 Avant Garde	“高级定制” 眼影盘（色号：8 Avant Garde）
585403	Couture Mono Eyeshadow - 14 Gala	“高级定制”单色眼影（色号：14 Gala）
487128	Couture Palette Eyeshadow - 10 Lumières Majorelle	“高级定制” 眼影盘（色号：10 Lumieres Majorelle）
663174	Rouge Pur Couture Lip Lacquer Glossy Stain - Wet Nude 208	奢华缎面纯色唇彩（色号：208 Wet Nude）
585391	Volume Effet Faux Cils - 3 Extreme Blue	全新绒密睫毛膏（色号：3 Extreme Blue)
487124	Couture Palette Eyeshadow - 6 Rive Gauche	“高级定制” 眼影盘（色号：6 Rive Gauche）
663165	Volupté Tint-In-Oil - Oh My Gold 2	油彩晶亮唇蜜（色号：2 Oh My Gold）
585393	Volume Effet Faux Cils Mascara - 6 Deep Night	全新绒密睫毛膏（色号：6 Deep Night）
663177	Full Metal Shadow - Aquatic Copper 7	光感金属眼影液（色号：Aquatic Copper 7）
487090	Rouge Volupté Radiant Lipstick - 8 Fetish Pink	迷魅亮采唇膏（色号：8 Fetish Pink）
487102	Rouge Pur Couture Lipstick - Rose Stiletto 9	迷魅纯漾唇膏（色号：9 Rose Stiletto）
487113	Rouge Pur Couture Lip Lacquer Glossy Stain - Rose Tempura 13	奢华缎面纯色唇釉（色号：13 Rose Tempura）
487129	Couture Palette Eyeshadow - 11 Ballets Russes	“高级定制” 眼影盘（色号：11 Ballets Russes）
487259	Baby Doll Kiss & Blush - 1 Fuchsia Desinvolte	洋娃娃唇颊蜜（色号：1 Fuchsia Desinvolte）
663192	La Laque Couture Pop Water Nail Polish - Rouge Wet 63	晶透指甲油（色号：63 Rouge Wet）
612912	Blush Volupté Heart of Light Powder Blush - Seductrice 2	双效幻彩胭脂（色号：2 Seductrice）
585397	Couture Mono Eyeshadow - 2 Toile	“高级定制” 单色眼影（色号：2 Toile）
663176	Full Metal Shadow - Onde Sable 4	光感金属眼影液（色号：Onde Sable 4）
487095	Rouge Volupté Shine Lipstick - Pink In Confidence 8	情挑诱光水唇膏（色号：8 Pink In Confidence）
487107	Rouge Pur Couture Lip Lacquer Glossy Stain - Rouge Philtre 10	奢华缎面纯色唇釉（色号：10 Rouge Philtre）
487122	Couture Palette Eyeshadow - 4 Saharienne	“高级定制” 眼影盘（色号：4 Saharienne）
663185	Souffle D'Éclat Sheer & Radiant Loose Powder - 3	明彩丝雾散粉（色号：3）
487110	Rouge Pur Couture Lip Lacquer Glossy Stain - Corail Aquatique 7	奢华缎面纯色唇釉（色号：7 Corail Aquatique）
612910	Foundation Brush	粉底刷
585405	Couture Eye Primer - Fair	“高级定制”眼部打底霜（色号：Fair）
487071	Touche Éclat Radiant Touch Luminizing Pen - 6.5 Luminous Toffee	明彩笔（色号：6.5 Luminous Toffee）
487104	Rouge Pur Couture Lipstick - Fuchsia Pink 19	迷魅纯漾唇膏（色号：19 Fuchsia Pink）
487100	Rouge Volupté Shine Lipstick - Corail Intuitive 15	情挑诱光水唇膏（色号：15 Corail Intuitive）
487123	Couture Palette Eyeshadow - 5 Surréaliste	“高级定制” 眼影盘（色号：5 Surréaliste）
487119	Couture Palette Eyeshadow - 1 Tuxedo	“高级定制” 眼影盘（色号：1 Tuxedo）
613374	Dessin Du Regard Eye Pencil - 02 Leather Brown	持久眼线笔（色号：02 Leather Brown）
487103	Rouge Pur Couture Lipstick - Rose Carnation 11	迷魅纯漾唇膏（色号：11 Rose Carnation）
487125	Couture Palette Eyeshadow - 7 Parisienne	“高级定制” 眼影盘（色号：7 Parisienne）
487096	Rouge Volupté Shine Lipstick - Nude In Private 9	情挑诱光水唇膏（色号：9 Nude In Private）
487106	Rouge Pur Couture Lip Lacquer Glossy Stain - Rouge Vintage 5	奢华缎面纯色唇釉（色号：5 Rouge Vintage）
487262	Baby Doll Kiss & Blush - 07 Corail Affranchi	洋娃娃唇颊蜜（色号：07 Coral Affranchi）
487081	La Laque Couture Nail Lacquer - Violine Surrealiste 14	指甲油（色号：14 Violine Surrealiste）
487112	Rouge Pur Couture Lip Lacquer Glossy Stain - Rouge Laque 9	奢华缎面纯色唇釉（色号：9 Rouge Laque）
487127	Couture Palette Eyeshadow - 9 Baby Doll Nude	“高级定制” 眼影盘（色号：9 Baby Doll Nude）
