pid	English	Chinese
552602	Lip Enhancer	焕彩润唇霜
848522	Z Detox Clarifying Foaming Cleanser, 150ml	净肌排毒泡沫洁面乳，150ml
552604	Velvet Primer, 30ml 	天鹅绒打底霜，30 ml
552603	Satin Primer, 30 ml	丝缎打底霜，30 ml
848523	Z Recovery Intensive Repair Balm, 50ml 	赋活深层修复乳霜，50ml
575477	Flirt Mascara, 9ml	魅惑迷情睫毛膏，9ml
575484	Active Concealer - 02, 3ml	活力遮瑕笔，3ml（色号：02）
575483	Active Concealer - 01, 3ml	活力遮瑕笔，3ml（色号：01）
776981	Body Defence Sunscreen SPF30, 125ml	身体防晒油 SPF 30，125ml
745284	Lip Enhancer - Naturelle	焕彩润唇霜（色号：Naturelle）
575485	Active Concealer - 03, 3ml	活力遮瑕笔，3ml（色号：03）
776984	Power A High Potency Vitamin A Treatment Drops, 30ml	至尊高效维他命 A 精华，30ml
776982	Z Luminous Brightening Serum, 30ml	亮肤美颜精华液，30ml
398867	Triple Action Advanced Eye Cream, 15ml	三重功效强力眼霜，15ml
745281	Lip Treatment Oil, 8ml	抗老防皱唇部护理油，8ml
745283	Intense Defence Antioxidant Serum, 30ml	深层保湿抗氧化精华液，30ml
745282	Power D Treatment Drops, 30ml	活力疗愈精油，30ml
776983	Power C Treatment Drops, 30ml	清皙疗愈精油，30ml
575473	Z Firm Lifting Face & Neck Cream, 50ml	紧致塑颜面颈霜，50ml
575491	Z PURE Cleansing Liquid Balm, 125ml	Z PURE 洁面霜，125ml
398868	PHA+ Bio-Peel Resurfacing Facial Pads - 50 Pads	果酸生物去角质焕肤拭片（50 片装）
398869	Transformer Instant Renewal Mask, 50ml	立瞬新生焕采面膜，50ml
575475	Z Matrix Energy & Moisture Infusion, 50ml	Z 矩阵赋能保湿润肤乳，50ml
552019	Daily Defence Sunscreen Broad Spectrum SPF30, 50ml	广谱防晒日霜，SPF 30，50ml
444873	Z-22 Absolute Face Oil, 30ml	Z-22 极致面部护理油，30ml
552020	Youth Concentrate Serum, 30ml	青春浓缩精华液，30ml
552021	Stem Complex Rejuvenating Overnight Treatment, 50ml	干细胞复方赋活夜间护理霜，50ml
575474	Micro-Refiner Bi-Active Exfoliator, 50ml	微晶磨砂双效去角质霜，50ml
398866	3t Complex Essential Anti-Aging Cream, 50ml	3t Complex 抗衰老精华霜，50ml
444875	Aka Shiso Reviving Mineral Shower Gel, 200ml	紫苏活肤矿物质沐浴露，200ml
