pid	English	Chinese
965126	summer.fling kit	恋恋夏日化妆海棉套装
585575	beautyblender Original	经典版化妆海绵
585576	beautyblender Pure	纯净版化妆海绵
746803	beautyblender Nude	裸妆版化妆海绵
767868	liner.designer	描线助手
798274	liner.designer pro	眼线专业辅助器
798276	pro on the go Kit	专业版海绵旅行套装
871390	all.about.face kit	终极化妆海绵套装
771351	beauty.blusher	化妆海绵
798273	blotterazzi Pro	专业版吸油海绵
641690	blotterazzi	吸油海绵
798275	beautyblender Micro Mini Pro	beautyblender 迷你专业版化妆海绵
614258	beautyblender Red Carpet	红毯版化妆海绵
585573	beautyblender Micro Mini Duo	迷你版化妆海绵（两只装）
719101	liquid blendercleanser®, 150ml	化妆工具清洁液，150ml
585574	beautyblender Pro	专业版化妆海绵
629186	beautyblender Royal	皇家版化妆海绵
547368	blendercleanser Solid 	化妆工具清洁皂
641689	bodyblender	美体海绵
